CHARAPROFILE_TITLE	Charakterprofile
CHARAPROFILE_BASIC_TITLE	Grundlegende Informationen
CHARAPROFILE_OPTIONS_TITLE	Charakter-Optionen
CHARAPROFILE_BIO_TITLE	Charakter Biographie

CHARAPROFILE_RANDOM	Zufällig

CHARAPROFILE_FAMILYNAME	Nachname
CHARAPROFILE_GIVENNAME	Vorname
CHARAPROFILE_BIRTHDATE	Geburtsdatum
CHARAPROFILE_BLOODTYPE	Blutgruppe
CHARAPROFILE_NICKNAME	Spitzname
CHARAPROFILE_PERSONALITY	Persönlichkeit

CHARAPROFILE_MONTH_JANUARY	Januar
CHARAPROFILE_MONTH_FEBRUARY	Februar
CHARAPROFILE_MONTH_MARCH	März
CHARAPROFILE_MONTH_APRIL	April
CHARAPROFILE_MONTH_MAY	Mai
CHARAPROFILE_MONTH_JUNE	Juni
CHARAPROFILE_MONTH_JULY	Juli
CHARAPROFILE_MONTH_AUGUST	August
CHARAPROFILE_MONTH_SEPTEMBER	September
CHARAPROFILE_MONTH_OCTOBER	Oktober
CHARAPROFILE_MONTH_NOVEMBER	November
CHARAPROFILE_MONTH_DECEMBER	Dezember

CHARAPROFILE_FUTA	Futanari umschalten
CHARAPROFILE_TOGGLE	Umschalten
