CONTROLPANEL_POSES_TITLE	Einstellungen Posen
CONTROLPANEL_POSES_EYEDIR	Richtung Augen
CONTROLPANEL_POSES_HEADDIR	Richtung Kopf
CONTROLPANEL_POSES_LEFTHANDPOSE	Pose linke Hand
CONTROLPANEL_POSES_RIGHTHANDPOSE	Pose rechte Hand
CONTROLPANEL_POSES_POSE	Auswahl Pose
CONTROLPANEL_POSES_POSESPEED	Geschwindigkeit Pose

CONTROLPANEL_POSES_NONE	Keine

CONTROLPANEL_POSE_LOOK_UP	Oben
CONTROLPANEL_POSE_LOOK_DOWN	Unten
CONTROLPANEL_POSE_LOOK_LEFT	Links
CONTROLPANEL_POSE_LOOK_RIGHT	Rechts
CONTROLPANEL_POSE_LOOK_UPLEFT	Oben links
CONTROLPANEL_POSE_LOOK_UPRIGHT	Oben rechts
CONTROLPANEL_POSE_LOOK_DOWNLEFT	Unten links
CONTROLPANEL_POSE_LOOK_DOWNRIGHT	Unten rechts

CONTROLPANEL_POSE_HEAD_UP	Oben
CONTROLPANEL_POSE_HEAD_DOWN	Unten
CONTROLPANEL_POSE_HEAD_LEFT	Links
CONTROLPANEL_POSE_HEAD_RIGHT	Rechts
CONTROLPANEL_POSE_HEAD_UPLEFT	Oben links
CONTROLPANEL_POSE_HEAD_UPRIGHT	Oben rechts
CONTROLPANEL_POSE_HEAD_DOWNLEFT	Unten links
CONTROLPANEL_POSE_HEAD_DOWNRIGHT	Unten rechts
CONTROLPANEL_POSE_LOOK_CAMERA	Kamera
CONTROLPANEL_POSE_LOOK_MANUAL	Manuell
CONTROLPANEL_POSE_LOOK_FORWARD	Vorwärts
CONTROLPANEL_POSE_HEAD_CAMERA	Kamera
CONTROLPANEL_POSE_HEAD_ANIMATION	Animation
CONTROLPANEL_POSE_HEAD_MANUAL	Manuell
CONTROLPANEL_POSE_HEAD_FORWARD	Vorwärts
CONTROLPANEL_POSES_FKIK	FK/IK-Pose
CONTROLPANEL_POSES_FKIKSEL	FK/IK-Auswahl
