EYESCUSTOMPANEL_TITLE	Augenanpassung
EYESCUSTOMPANEL_NONESELECTED	Keine
EYESCUSTOMPANEL_NONEAVAILABLE	Keine Objekte vorhanden
EYESCUSTOMPANEL_SEARCH_NAME	Name
EYESCUSTOMPANEL_SEARCH_DESC	Beschreibung	-3
EYESCUSTOMPANEL_SEARCH_TAGS	Tags
EYESCUSTOMPANEL_BASICNOTAVAIL	Im Basismodus nicht verfügbar
EYESCUSTOMPANEL_BACK	Zurück
EYESCUSTOMPANEL_RESET	Zurücksetzen	-1
EYESCUSTOMPANEL_ADVANCED	Erweitert
EYESCUSTOMPANEL_SENDTOOTHER	Senden an andere
EYESCUSTOMPANEL_READFROMOTHER	Lesen von anderen	-1
EYESCUSTOMPANEL_ENABLE	Freigeben
EYESCUSTOMPANEL_AUTOMATIC	Automatisch	-2
EYESCUSTOMPANEL_INVERT	Invertieren
EYESCUSTOMPANEL_UNSELECT	Abwählen
EYESCUSTOMPANEL_GRADTYPE	Farbverlauf Typ
EYESCUSTOMPANEL_COLORS	Farben
EYESCUSTOMPANEL_COLOR	Farbe
EYESCUSTOMPANEL_MIDANDSHARP	Mittelwert und Schärfe
EYESCUSTOMPANEL_MIDPOINT	Mittelwert
EYESCUSTOMPANEL_SHARPNESS	Schärfe
EYESCUSTOMPANEL_ANGLE	Winkel (Anfang & Ende)
EYESCUSTOMPANEL_IRISLINES	Iris-Linien
EYESCUSTOMPANEL_COUNTWIDTH	Anzahl & Breite
EYESCUSTOMPANEL_SOCKETCOLOR	Farbe der Augenhöhle
EYESCUSTOMPANEL_MIRRORX	Spiegelung X	-3
EYESCUSTOMPANEL_MIRRORY	Spiegelung Y	-3
EYESCUSTOMPANEL_SECHIGHLIGHT	Sekundäre Hervorhebung
EYESCUSTOMPANEL_DEADZONE	Tote-Zone
EYESCUSTOMPANEL_DEADZONEATTN	Abschwächung der toten Zone
EYESCUSTOMPANEL_IRIS	Iris
EYESCUSTOMPANEL_RANDOM	Zufällig
EYESCUSTOMPANEL_SEED	Linien Seed
EYESCUSTOMPANEL_SCALE	Skalierung
EYESCUSTOMPANEL_SECONDARYSCALE	Sekundärskala
EYESCUSTOMPANEL_IRISWIDTH	Iris Breite
EYESCUSTOMPANEL_IRISHEIGHT	Iris Höhe
EYESCUSTOMPANEL_SIDE_LEFT	Linkes Auge	-1
EYESCUSTOMPANEL_SIDE_RIGHT	Rechtes Auge	-3
EYESCUSTOMPANEL_SIDE_BOTH	Beide Augen	-2
EYESCUSTOMPANEL_PART_INNERIRIS	Innere Iris
EYESCUSTOMPANEL_PART_OUTERIRIS	Äußere Iris
EYESCUSTOMPANEL_PART_PUPIL	Pupille
EYESCUSTOMPANEL_PART_SOCKET	Augenhöhle	-1
EYESCUSTOMPANEL_PART_HIGHLIGHT	Hervorhebung	-3
EYESCUSTOMPANEL_GRADIENT_X	X
EYESCUSTOMPANEL_GRADIENT_Y	Y
EYESCUSTOMPANEL_GRADIENT_CIRCLE	Kreis
EYESCUSTOMPANEL_COLORMODE_NONE	Texturfarbe
EYESCUSTOMPANEL_COLORMODE_MULTIPLY	Multiplizieren
EYESCUSTOMPANEL_COLORMODE_COLORIZE	Nur Farbe
