STUDIOCHARSETTINGS_FKPANEL_TITLE	Vorwärtskinematik
STUDIOCHARSETTINGS_FKPANEL_NONESELECTED	Kein Charakter ausgewählt
STUDIOCHARSETTINGS_FKPANEL_ONLYONEALLOWED	Es kann nur ein Charakter gleichzeitig geändert werden
STUDIOCHARSETTINGS_FKPANEL_EVERYTHING_TITLE	Alles
STUDIOCHARSETTINGS_FKPANEL_TOGGLE	Umschalten	-3
STUDIOCHARSETTINGS_FKPANEL_SYNC	Pose Lesen
STUDIOCHARSETTINGS_FKPANEL_MIRROR	Spiegeln
STUDIOCHARSETTINGS_FKPANEL_RESET	Zurücksetzen	-5
STUDIOCHARSETTINGS_FKPANEL_EDIT	Bearbeiten	-3
STUDIOCHARSETTINGS_FKPANEL_GROUPS	Gruppen
STUDIOCHARSETTINGS_FKPANEL_COPY	Kopieren
STUDIOCHARSETTINGS_FKPANEL_PASTE	Einfügen
