STUDIOSETTINGS_TITLE	Einstellungen Studio
STUDIOSETTINGS_OBJCREATION_TITLE	Erstellung Objekte
STUDIOSETTINGS_GIZMO_TITLE	Gizmo
STUDIOSETTINGS_TARGETDISPLAY_TITLE	Anzeige Ziele
STUDIOSETTINGS_TARGETSIZE_TITLE	Größe von Zielen
STUDIOSETTINGS_CAMERA_TITLE	Kamera

STUDIOSETTINGS_DISPLAY	Anzeige

STUDIOSETTINGS_LOCATION	Ort
STUDIOSETTINGS_ORIGIN	Ursprung
STUDIOSETTINGS_CAMERA	Kamera

STUDIOSETTINGS_PARENT	Elternobjekt
STUDIOSETTINGS_ROOT	Ursprungsobjekt
STUDIOSETTINGS_SELOBJ	Ausgewählt

STUDIOSETTINGS_SIZE	Größe

STUDIOSETTINGS_OBJECTS	Objekte
STUDIOSETTINGS_CHARA	Charaktere
STUDIOSETTINGS_FOLDERS	Ordner
STUDIOSETTINGS_IKTARGETS	IK Ziele

STUDIOSETTINGS_SHOWCAMTARGET	Zeige Kameraziel
STUDIOSETTINGS_FOV	Sichtfeld

STUDIOSETTINGS_RESET	Standard	-1
STUDIOSETTINGS_VIEWDISTANCE	Sichtweite
STUDIOSETTINGS_LOOKTARGETS	Ziele (Kopf / Augen)	-2
STUDIOSETTINGS_FKTARGETS	FK-Ziele
STUDIOSETTINGS_TEXT	Text
