SUBCATEGORY_SHAPES_FACE	Gesicht
SUBCATEGORY_SHAPES_CHEEKS	Wangen
SUBCATEGORY_SHAPES_EARS	Ohren
SUBCATEGORY_SHAPES_JAW	Kiefer
SUBCATEGORY_SHAPES_CHIN	Kinn
SUBCATEGORY_SHAPES_EYES	Augen
SUBCATEGORY_SHAPES_NOSE	Nase
SUBCATEGORY_SHAPES_MOUTH	Mund
SUBCATEGORY_SHAPES_EXPRESSION	Ausdruck

SUBCATEGORY_SHAPES_NECK	Nacken
SUBCATEGORY_SHAPES_TORSO	Torso
SUBCATEGORY_SHAPES_WAIST	Taille
SUBCATEGORY_SHAPES_HIPS	Hüfte
SUBCATEGORY_SHAPES_ARMS	Arme
SUBCATEGORY_SHAPES_LEGS	Beine
SUBCATEGORY_SHAPES_PRIVATES	Weichteile

SUBCATEGORY_HAIR_FRONT	Frisur Front
SUBCATEGORY_HAIR_SIDE	Frisur Seite
SUBCATEGORY_HAIR_BACK	Frisur Hinten
SUBCATEGORY_HAIR_EXT	Erweiterungen

SUBCATEGORY_CLOTH_BRA	BH
SUBCATEGORY_CLOTH_PANTIES	Höschen
SUBCATEGORY_CLOTH_SOCKS	Socken
SUBCATEGORY_CLOTH_STOCKINGS	Strümpfe
SUBCATEGORY_CLOTH_SHIRT	Shirt
SUBCATEGORY_CLOTH_COAT	Mantel
SUBCATEGORY_CLOTH_ONEPIECE	Einteiler
SUBCATEGORY_CLOTH_SKIRT	Rock
SUBCATEGORY_CLOTH_PANTS	Hose
SUBCATEGORY_CLOTH_SHOES	Schuhe

SUBCATEGORY_STUDIO_BASICSHAPES	Einfache Formen
SUBCATEGORY_STUDIO_LIGHTS	Lichter
SUBCATEGORY_STUDIO_EFFECTS2D	2D Effekte
SUBCATEGORY_STUDIO_EFFECTS3D	3D Effekte
SUBCATEGORY_STUDIO_SMALLOBJECTS	Kleine Objekte
SUBCATEGORY_STUDIO_LARGEOBJECTS	Große Objekte
SUBCATEGORY_STUDIO_MISCOBJECTS	Andere Objekte
SUBCATEGORY_STUDIO_HRELATED	H bezogen
SUBCATEGORY_STUDIO_FOODRELATED	Nahrungsbezogen
SUBCATEGORY_STUDIO_CHARARELATED	Charakterbezogen
SUBCATEGORY_STUDIO_FURNITURE	Möbel
SUBCATEGORY_STUDIO_BUILDINGS	Gebäude
SUBCATEGORY_STUDIO_GIMMICKS	Gimmicks

SUBCATEGORY_ACC_HEAD	Kopf
SUBCATEGORY_ACC_NECK	Nacken
SUBCATEGORY_ACC_UPPERBODY	Oberkörper
SUBCATEGORY_ACC_LOWERBODY	Unterkörper
SUBCATEGORY_ACC_ARMS	Arme
SUBCATEGORY_ACC_HANDS	Hände
SUBCATEGORY_ACC_LEGS	Beine
SUBCATEGORY_ACC_FEET	Füße

SUBCATEGORY_TEXTURES_FACESKIN	Gesichts-Skin
SUBCATEGORY_TEXTURES_BODYSKIN	Körper-Skin

SUBCATEGORY_SETTINGS_CHARAPROFILE	Charakterprofil
SUBCATEGORY_SETTINGS_CHARACARDS	Charakter-Karten
SUBCATEGORY_SETTINGS_OUTFITCARDS	Outfit-Karten

SUBCATEGORY_SETTINGS_SCENESETTINGS	Szeneneinstellungen
SUBCATEGORY_SETTINGS_STUDIOSETTINGS	Studioeinstellungen
SUBCATEGORY_SETTINGS_MAPS	Karten
SUBCATEGORY_SETTINGS_SCENES	Szenen

SUBCATEGORY_STUDIO_CHARASETTINGS_IK	Inverse Kinematics
SUBCATEGORY_STUDIO_CHARASETTINGS_IKCORR	IK Korrektur
SUBCATEGORY_STUDIO_CHARASETTINGS_EXPR	Ausdruck
SUBCATEGORY_STUDIO_CHARASETTINGS_EYEHEAD	Blick & Kopf Steuerung
SUBCATEGORY_STUDIO_CHARASETTINGS_CLOTHACC	Kleidung & Zubehör

CATEGORY_HEAD	Kopf
CATEGORY_BODY	Körper
CATEGORY_HAIR	Haare
CATEGORY_CLOTHES	Kleidung
CATEGORY_ACCESSORIES	Zubehör
CATEGORY_TEXTURES	Texturen
CATEGORY_SETTINGS	Einstellungen
CATEGORY_OBJ	Objekte
CATEGORY_OBJSETTINGS	Objekteinstellungen
CATEGORY_CHARASETTINGS	Charaktereinstellungen	-2
SUBCATEGORY_HAIR_SET	Frisur Set
SUBCATEGORY_CLOTH_BOXERS	Boxershorts
SUBCATEGORY_SHAPES_CHEST	Brustkorb
SUBCATEGORY_TEXTURES_NIPPLES	Brustwarzen
SUBCATEGORY_TEXTURES_FACEOVERLAY	Gesichts-Overlay
SUBCATEGORY_TEXTURES_BODYOVERLAY	Körper-Overlay
SUBCATEGORY_TEXTURES_LIPS	Lips
SUBCATEGORY_SHAPES_EYEBROWS	Eyebrows
SUBCATEGORY_SHAPES_EYELIDS	Eyelids
SUBCATEGORY_STUDIO_CHARASETTINGS_FK	Forward Kinematics
SUBCATEGORY_STUDIO_CHARASETTINGS_FKIKPOSES	FK/IK Poses
