DATAOBJPANEL_NONESELECTED	Keine
DATAOBJPANEL_NONEAVAILABLE	Keine Karten verfügbar

DATAOBJPANEL_TYPE_CHARA	Charaktere
DATAOBJPANEL_TYPE_OUTFIT	Outfits
DATAOBJPANEL_TYPE_SCENE	Szenen

DATAOBJPANEL_LOADOPTIONS	Lade Optionen

DATAOBJPANEL_DELETE	Löschen
DATAOBJPANEL_ADD	Hinzufügen	-3
DATAOBJPANEL_LOAD	Laden
DATAOBJPANEL_SAVE	Speichern	-1

DATAOBJPANEL_CANCEL	Abbrechen
DATAOBJPANEL_CAPTURE	Aufnehmen
DATAOBJPANEL_KEEPIMG	Bild behalten

DATAOBJPANEL_LOAD_CLOTHING	Kleidung
DATAOBJPANEL_LOAD_HAIR	Haare
DATAOBJPANEL_LOAD_ACC	Zubehör
DATAOBJPANEL_LOAD_PROFILE	Profile
DATAOBJPANEL_LOAD_OUTFITS	Outfits
DATAOBJPANEL_LOAD_BODY	Körper

DATAOBJPANEL_LOAD_MAP	Karte
DATAOBJPANEL_LOAD_OBJ	Objekte
DATAOBJPANEL_LOAD_BG	Hintergrund
DATAOBJPANEL_LOAD_BGM	Hintergrundmusik
DATAOBJPANEL_TYPE_POSE	FK/IK-Pose
DATAOBJPANEL_NAME	Name
DATAOBJPANEL_LOAD_FK	FK
DATAOBJPANEL_LOAD_IK	IK
DATAOBJPANEL_LOAD_IKCORRECTION	IK-Korrektur
DATAOBJPANEL_TYPE_FEMALECHARA	Female Characters
DATAOBJPANEL_TYPE_MALECHARA	Male Characters
