MATCUSTOMIZER_TITLE	Material Customizer
MATCUSTOMIZER_SELECTEDMATERIAL	Ausgewähltes Material:
MATCUSTOMIZER_DISPLAY	Anzeige:
MATCUSTOMIZER_RESET	Standard	-2
MATCUSTOMIZER_NONESELECTED	Keine

MATCUSTOMIZER_TILING	Tiling
MATCUSTOMIZER_OFFSET	Offset
MATCUSTOMIZER_TOGGLE	Umschalten

MATCUSTOMIZER_TOGGLE_COLORS	Farben
MATCUSTOMIZER_TOGGLE_VECTORS	Vektoren
MATCUSTOMIZER_TOGGLE_FLOATS	Gleitkommazahlen
MATCUSTOMIZER_TOGGLE_RANGES	Wertebereiche	-3
MATCUSTOMIZER_TOGGLE_TEXTURES	Texturen
MATCUSTOMIZER_TOGGLE_INTS	Ganzzahlen	-1
MATCUSTOMIZER_TOGGLE_DROPDOWNS	Klappmenüs	-2
MATCUSTOMIZER_TOGGLE_TOGGLES	Schalter
MATCUSTOMIZER_EXPORT	Exportieren	-2
MATCUSTOMIZER_COPY	Kopieren
MATCUSTOMIZER_PASTE	Einfügen
MATCUSTOMIZER_EXPORTUV	UV Exportieren
MATCUSTOMIZER_CLEAR	Löschen
