SETTINGS_CATEGORIES_DISPLAY_TITLE	Anzeige
SETTINGS_CATEGORIES_GRAPHICS_TITLE	Grafik
SETTINGS_CATEGORIES_AUDIO_TITLE	Audio
SETTINGS_CATEGORIES_TEXT_TITLE	Text
SETTINGS_CATEGORIES_GENERAL_TITLE	Allgemein
SETTINGS_CATEGORIES_CONTROLS_TITLE	Steuerung
SETTINGS_CATEGORIES_MODS_TITLE	Mods

SETTINGS_CATEGORIES_DISPLAY_DESC	Anzeigeeinstellungen anpassen
SETTINGS_CATEGORIES_GRAPHICS_DESC	Grafikeinstellungen anpassen
SETTINGS_CATEGORIES_AUDIO_DESC	Ton- und Lautstärkeeinstellungen anpassen	-5
SETTINGS_CATEGORIES_TEXT_DESC	Texteinstellungen anpassen
SETTINGS_CATEGORIES_GENERAL_DESC	Allgemeine Einstellungen anpassen
SETTINGS_CATEGORIES_CONTROLS_DESC	Steuerung anpassen
SETTINGS_CATEGORIES_MODS_DESC	Mods und Modeinstellungen verwalten	-2
