SETTINGS_PAGE_DISPLAY_HEADER_RESOLUTION	Auflösung
SETTINGS_PAGE_DISPLAY_HEADER_WINDOWMODE	Fenstermodus

SETTINGS_PAGE_DISPLAY_WINDOWED	Fenstermodus
SETTINGS_PAGE_DISPLAY_FULLSCREEN	Vollbild
SETTINGS_PAGE_DISPLAY_BORDERLESS	Randlos
SETTINGS_PAGE_DISPLAY_HEADER_OUTLINE	Umriss
SETTINGS_PAGE_DISPLAY_FADESTART	Start Überblendung
SETTINGS_PAGE_DISPLAY_FADEEND	Ende Überblendung
SETTINGS_PAGE_DISPLAY_COLOR	Farbe
SETTINGS_PAGE_DISPLAY_OUTLINEBLUR5X5	Unschärfe 5x5
SETTINGS_PAGE_DISPLAY_OUTLINEBLUR3X3	Unschärfe 3x3
