SETTINGS_PAGE_GRAPHICS_HEADER_OPTIONS	Grafikoptionen
SETTINGS_PAGE_GRAPHICS_HEADER_LOD	Objektqualität
SETTINGS_PAGE_GRAPHICS_HEADER_SHADOWQUALITY	Schattenqualität

SETTINGS_PAGE_GRAPHICS_VERYHIGH	Sehr hoch
SETTINGS_PAGE_GRAPHICS_HIGH	Hoch
SETTINGS_PAGE_GRAPHICS_MEDIUM	Mittel
SETTINGS_PAGE_GRAPHICS_LOW	Gering
SETTINGS_PAGE_GRAPHICS_CUSTOM	Benutzerdefiniert

SETTINGS_PAGE_GRAPHICS_VSYNC	V-Sync
SETTINGS_PAGE_GRAPHICS_VIGNETTE	Vignette
SETTINGS_PAGE_GRAPHICS_AO	Umgebungsverdeckung
SETTINGS_PAGE_GRAPHICS_SSS	Screen Space Schatten

SETTINGS_PAGE_GRAPHICS_BLOOM	Bloom
SETTINGS_PAGE_GRAPHICS_HEADER_ANTIALIASING	Antialiasing
SETTINGS_PAGE_GRAPHICS_NONE	Keine
SETTINGS_PAGE_GRAPHICS_HEADER_TEXTUREQUALITY	Texturqualität
SETTINGS_PAGE_GRAPHICS_FPSLIMIT	Begrenzung Bildwiederholrate
