CONTROLPANEL_EXPRESSION_TITLE	Expression

CONTROLPANEL_EXPRESSION_AUTO	Automatic

CONTROLPANEL_EXPRESSION_EYE_TITLE	Eye Expression
CONTROLPANEL_EXPRESSION_EYE_BLINKING	Toggle Blinking
CONTROLPANEL_EXPRESSION_EYE_SPLIT_OPENING	Split Eye Opening
CONTROLPANEL_EXPRESSION_EYE_OPENING	Eye Opening
CONTROLPANEL_EXPRESSION_LEFT_EYE_OPENING	Left Eye Opening
CONTROLPANEL_EXPRESSION_RIGHT_EYE_OPENING	Right Eye Opening

CONTROLPANEL_EXPRESSION_MOUTH_TITLE	Mouth Expression
CONTROLPANEL_EXPRESSION_MOUTH_OPENING	Mouth Opening
