CONTROLPANEL_POSES_TITLE	Pose Controls
CONTROLPANEL_POSES_EYEDIR	Eye Direction
CONTROLPANEL_POSES_HEADDIR	Head Direction
CONTROLPANEL_POSES_LEFTHANDPOSE	Left Hand Pose
CONTROLPANEL_POSES_RIGHTHANDPOSE	Right Hand Pose
CONTROLPANEL_POSES_POSE	Pose Selection
CONTROLPANEL_POSES_POSESPEED	Pose Speed

CONTROLPANEL_POSES_FKIK	FK/IK Pose
CONTROLPANEL_POSES_FKIKSEL	FK/IK Selection

CONTROLPANEL_POSES_NONE	None

CONTROLPANEL_POSE_LOOK_CAMERA	Camera
CONTROLPANEL_POSE_LOOK_MANUAL	Manual
CONTROLPANEL_POSE_LOOK_FORWARD	Forward
CONTROLPANEL_POSE_LOOK_UP	Up
CONTROLPANEL_POSE_LOOK_DOWN	Down
CONTROLPANEL_POSE_LOOK_LEFT	Left
CONTROLPANEL_POSE_LOOK_RIGHT	Right
CONTROLPANEL_POSE_LOOK_UPLEFT	Up Left
CONTROLPANEL_POSE_LOOK_UPRIGHT	Up Right
CONTROLPANEL_POSE_LOOK_DOWNLEFT	Down Left
CONTROLPANEL_POSE_LOOK_DOWNRIGHT	Down Right

CONTROLPANEL_POSE_HEAD_CAMERA	Camera
CONTROLPANEL_POSE_HEAD_ANIMATION	Animation
CONTROLPANEL_POSE_HEAD_MANUAL	Manual
CONTROLPANEL_POSE_HEAD_FORWARD	Forward
CONTROLPANEL_POSE_HEAD_UP	Up
CONTROLPANEL_POSE_HEAD_DOWN	Down
CONTROLPANEL_POSE_HEAD_LEFT	Left
CONTROLPANEL_POSE_HEAD_RIGHT	Right
CONTROLPANEL_POSE_HEAD_UPLEFT	Up Left
CONTROLPANEL_POSE_HEAD_UPRIGHT	Up Right
CONTROLPANEL_POSE_HEAD_DOWNLEFT	Down Left
CONTROLPANEL_POSE_HEAD_DOWNRIGHT	Down Right
