EYESCUSTOMPANEL_TITLE	Eyes Customization

EYESCUSTOMPANEL_NONESELECTED	None
EYESCUSTOMPANEL_NONEAVAILABLE	No objects available

EYESCUSTOMPANEL_SEARCH_NAME	Name
EYESCUSTOMPANEL_SEARCH_DESC	Description
EYESCUSTOMPANEL_SEARCH_TAGS	Tags

EYESCUSTOMPANEL_BASICNOTAVAIL	Not available in Basic mode
EYESCUSTOMPANEL_BACK	Back
EYESCUSTOMPANEL_RESET	Reset
EYESCUSTOMPANEL_ADVANCED	Advanced
EYESCUSTOMPANEL_SENDTOOTHER	Send To Other
EYESCUSTOMPANEL_READFROMOTHER	Read From Other
EYESCUSTOMPANEL_ENABLE	Enable
EYESCUSTOMPANEL_AUTOMATIC	Automatic
EYESCUSTOMPANEL_COLORIZE	Colorize
EYESCUSTOMPANEL_INVERT	Invert
EYESCUSTOMPANEL_UNSELECT	Unselect
EYESCUSTOMPANEL_GRADTYPE	Gradient Type
EYESCUSTOMPANEL_COLORS	Colors
EYESCUSTOMPANEL_COLOR	Color
EYESCUSTOMPANEL_MIDANDSHARP	Midpoint & Sharpness
EYESCUSTOMPANEL_MIDPOINT	Midpoint
EYESCUSTOMPANEL_SHARPNESS	Sharpness
EYESCUSTOMPANEL_ANGLE	Angle (Start & End)
EYESCUSTOMPANEL_IRISLINES	Iris Lines
EYESCUSTOMPANEL_COUNTWIDTH	Count & Width
EYESCUSTOMPANEL_SOCKETCOLOR	Socket Color
EYESCUSTOMPANEL_MIRRORX	Mirror X
EYESCUSTOMPANEL_MIRRORY	Mirror Y
EYESCUSTOMPANEL_SECHIGHLIGHT	Secondary Highlight
EYESCUSTOMPANEL_DEADZONE	Deadzone
EYESCUSTOMPANEL_DEADZONEATTN	Deadzone Attenuation
EYESCUSTOMPANEL_IRIS	Iris

EYESCUSTOMPANEL_IRISWIDTH	Iris Width
EYESCUSTOMPANEL_IRISHEIGHT	Iris Height

EYESCUSTOMPANEL_SIDE_LEFT	Left Eye
EYESCUSTOMPANEL_SIDE_RIGHT	Right Eye
EYESCUSTOMPANEL_SIDE_BOTH	Both Eyes

EYESCUSTOMPANEL_PART_INNERIRIS	Inner Iris
EYESCUSTOMPANEL_PART_OUTERIRIS	Outer Iris
EYESCUSTOMPANEL_PART_PUPIL	Pupil
EYESCUSTOMPANEL_PART_SOCKET	Socket
EYESCUSTOMPANEL_PART_HIGHLIGHT	Highlight

EYESCUSTOMPANEL_GRADIENT_X	X
EYESCUSTOMPANEL_GRADIENT_Y	Y
EYESCUSTOMPANEL_GRADIENT_CIRCLE	Circle
