PREVIEW_CONTROLS_ORBIT	Orbit camera around object
PREVIEW_CONTROLS_MOVE	Move camera vertically
PREVIEW_CONTROLS_ZOOM	Zoom towards object
PREVIEW_CONTROLS_ROTATE	Rotate object

PREVIEW_CUSTOM_NONESELECTED	None

PREVIEW_CUSTOM_ENTER	Preview installed Clothing
PREVIEW_CUSTOM_EXIT	Switch to Feature Preview

PREVIEW_OBJECT_FBASEMESH2.0	Female Base Mesh 2.0
PREVIEW_OBJECT_FBASEMESH2.0_NSFW	Female Base Mesh 2.0 (Naked)
PREVIEW_OBJECT_MBASEMESH2.0	Male Base Mesh 2.0
PREVIEW_OBJECT_MBASEMESH2.0_NSFW	Male Base Mesh 2.0 (Naked)

PREVIEW_OBJECT_CANDY	Candy
PREVIEW_OBJECT_CHOCOLATEBAR	Chocolate Bar
PREVIEW_OBJECT_CHOCOLATEBARBIG	Big Chocolate Bar
PREVIEW_OBJECT_CHOCOLATEPILE	Chocolate Pile
PREVIEW_OBJECT_CHOCOLATEPIECE	Chocolate Piece
PREVIEW_OBJECT_PUMPKIN	Pumpkin
PREVIEW_OBJECT_OPENPUMPKIN	Open Pumpkin
