STUDIOCHARSETTINGS_EXPRPANEL_TITLE	Expression
STUDIOCHARSETTINGS_EXPRPANEL_NONESELECTED	No character selected
STUDIOCHARSETTINGS_EXPRPANEL_ONLYONEALLOWED	Only one character can be modified at a time
STUDIOCHARSETTINGS_EXPRPANEL_NOTSUPPORTED	This character does not support expressions

STUDIOCHARSETTINGS_EXPRPANEL_EYES	Eyes
STUDIOCHARSETTINGS_EXPRPANEL_MOUTH	Mouth

STUDIOCHARSETTINGS_EXPRPANEL_TOGGLE	Toggle
STUDIOCHARSETTINGS_EXPRPANEL_EXPRESSION	Expression
STUDIOCHARSETTINGS_EXPRPANEL_AUTO	Automatic

STUDIOCHARSETTINGS_EXPRPANEL_OPENING	Opening
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGL	Opening (L)
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGR	Opening (R)
STUDIOCHARSETTINGS_EXPRPANEL_SPLITOPENING	Split Eye Opening
STUDIOCHARSETTINGS_EXPRPANEL_BLINKING	Blinking
