STUDIOCHARSETTINGS_EYEHEADPANEL_TITLE	Look & Head Control
STUDIOCHARSETTINGS_EYEHEADPANEL_NONESELECTED	No character selected
STUDIOCHARSETTINGS_EYEHEADPANEL_ONLYONEALLOWED	Only one character can be modified at a time
STUDIOCHARSETTINGS_EYEHEADPANEL_NOTSUPPORTED	This character does not support eye and head control

STUDIOCHARSETTINGS_EYEHEADPANEL_EYES	Look
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD	Head

STUDIOCHARSETTINGS_EYEHEADPANEL_DIRECTION	Direction

STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_CAMERA	Camera
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_MANUAL	Manual
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_FORWARD	Forward
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UP	Up
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWN	Down
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_LEFT	Left
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_RIGHT	Right
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPLEFT	Up Left
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPRIGHT	Up Right
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNLEFT	Down Left
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNRIGHT	Down Right

STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_CAMERA	Camera
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_ANIMATION	Animation
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_MANUAL	Manual
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_FORWARD	Forward
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UP	Up
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWN	Down
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_LEFT	Left
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_RIGHT	Right
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPLEFT	Up Left
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPRIGHT	Up Right
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNLEFT	Down Left
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNRIGHT	Down Right

STUDIOCHARSETTINGS_EYEHEADPANEL_COPY	Copy
STUDIOCHARSETTINGS_EYEHEADPANEL_PASTE	Paste
