STUDIOCHARSETTINGS_IKPANEL_TITLE	Inverse Kinematics
STUDIOCHARSETTINGS_IKPANEL_NONESELECTED	No character selected
STUDIOCHARSETTINGS_IKPANEL_ONLYONEALLOWED	Only one character can be modified at a time

STUDIOCHARSETTINGS_IKPANEL_EVERYTHING_TITLE	Everything

STUDIOCHARSETTINGS_IKPANEL_TOGGLE	Toggle
STUDIOCHARSETTINGS_IKPANEL_DISABLE	Disable
STUDIOCHARSETTINGS_IKPANEL_SYNCANIM	Sync to Animation
STUDIOCHARSETTINGS_IKPANEL_SYNC	Sync
STUDIOCHARSETTINGS_IKPANEL_MIRROR	Mirror

STUDIOCHARSETTINGS_IKPANEL_BODY	Body
STUDIOCHARSETTINGS_IKPANEL_LEFTSHOULDER	Left Shoulder
STUDIOCHARSETTINGS_IKPANEL_RIGHTSHOULDER	Right Shoulder
STUDIOCHARSETTINGS_IKPANEL_LEFTTHIGH	Left Thigh
STUDIOCHARSETTINGS_IKPANEL_RIGHTTHIGH	Right Thigh
STUDIOCHARSETTINGS_IKPANEL_LEFTHAND	Left Hand
STUDIOCHARSETTINGS_IKPANEL_RIGHTHAND	Right Hand
STUDIOCHARSETTINGS_IKPANEL_LEFTFOOT	Left Foot
STUDIOCHARSETTINGS_IKPANEL_RIGHTFOOT	Right Foot

STUDIOCHARSETTINGS_IKPANEL_LEFTELBOW	Left Elbow
STUDIOCHARSETTINGS_IKPANEL_RIGHTELBOW	Right Elbow
STUDIOCHARSETTINGS_IKPANEL_LEFTKNEE	Left Knee
STUDIOCHARSETTINGS_IKPANEL_RIGHTKNEE	Right Knee

STUDIOCHARSETTINGS_IKPANEL_POSWEIGHT	Position Weight
STUDIOCHARSETTINGS_IKPANEL_ROTWEIGHT	Rotation Weight
STUDIOCHARSETTINGS_IKPANEL_SPINESTIFF	Spine Stiffness
STUDIOCHARSETTINGS_IKPANEL_USETHIGHS	Use Thighs
STUDIOCHARSETTINGS_IKPANEL_VERTPULL	Vertical Pull
STUDIOCHARSETTINGS_IKPANEL_HORZPULL	Horizontal Pull
STUDIOCHARSETTINGS_IKPANEL_RELPOS	Relative Position
STUDIOCHARSETTINGS_IKPANEL_PULL	Pull
STUDIOCHARSETTINGS_IKPANEL_REACH	Reach
STUDIOCHARSETTINGS_IKPANEL_PUSH	Push
STUDIOCHARSETTINGS_IKPANEL_PUSHPARENT	Push Parent
STUDIOCHARSETTINGS_IKPANEL_REACHSMOOTHING	Reach Smoothing
STUDIOCHARSETTINGS_IKPANEL_PUSHSMOOTHING	Push Smoothing
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_NONE	None
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_EXPONENTIAL	Exponential
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_CUBIC	Cubic
