STUDIOCHARSETTINGS_IKPOSEPANEL_TITLE	IK Poses
STUDIOCHARSETTINGS_IKPOSEPANEL_NONESELECTED	No character selected
STUDIOCHARSETTINGS_IKPOSEPANEL_ONLYONEALLOWED	Only one character can be modified at a time

STUDIOCHARSETTINGS_IKPOSEPANEL_NONEAVAILABLE	No poses available

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADING_TITLE	Loading
STUDIOCHARSETTINGS_IKPOSEPANEL_SAVING_TITLE	Saving

STUDIOCHARSETTINGS_IKPOSEPANEL_NAME	Name

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVE	Save

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVEPOSE	Save Pose

STUDIOCHARSETTINGS_IKPOSEPANEL_MANAGE	Manage

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADPOSE	Load Pose
STUDIOCHARSETTINGS_IKPOSEPANEL_DELETEPOSE	Delete Pose
