STUDIOOBJSETTINGS_PAGE_LIGHT_GENERAL_TITLE	General
STUDIOOBJSETTINGS_PAGE_LIGHT_SHADOWS_TITLE	Shadows

STUDIOOBJSETTINGS_PAGE_LIGHT_COLOR	Color
STUDIOOBJSETTINGS_PAGE_LIGHT_INT	Intensity
STUDIOOBJSETTINGS_PAGE_LIGHT_RANGE	Range
STUDIOOBJSETTINGS_PAGE_LIGHT_ANG	Angle
STUDIOOBJSETTINGS_PAGE_LIGHT_INNANG	Inner Angle
STUDIOOBJSETTINGS_PAGE_LIGHT_TYPE	Type
STUDIOOBJSETTINGS_PAGE_LIGHT_STRENGTH	Strength
STUDIOOBJSETTINGS_PAGE_LIGHT_QUALITY	Quality

STUDIOOBJSETTINGS_PAGE_LIGHT_SHADOWS_NONE	None
STUDIOOBJSETTINGS_PAGE_LIGHT_SHADOWS_HARD	Hard
STUDIOOBJSETTINGS_PAGE_LIGHT_SHADOWS_SOFT	Soft

STUDIOOBJSETTINGS_PAGE_LIGHT_QUALITY_USEPIPELINESETTINGS	Use Pipeline Settings
STUDIOOBJSETTINGS_PAGE_LIGHT_QUALITY_LOW	Low
STUDIOOBJSETTINGS_PAGE_LIGHT_QUALITY_MEDIUM	Medium
STUDIOOBJSETTINGS_PAGE_LIGHT_QUALITY_HIGH	High
