STUDIOSCENESETTINGS_TITLE	Scene Settings
STUDIOSCENESETTINGS_BASIC_TITLE	Basic
STUDIOSCENESETTINGS_ENV_TITLE	Environment
STUDIOSCENESETTINGS_AUDIO_TITLE	Audio

STUDIOSCENESETTINGS_NONESELECTED	None
STUDIOSCENESETTINGS_DEFAULT	Default

STUDIOSCENESETTINGS_NAME	Name
STUDIOSCENESETTINGS_MAP	Map
STUDIOSCENESETTINGS_COLOR	Color
STUDIOSCENESETTINGS_IMAGE	Image
STUDIOSCENESETTINGS_BGM	BGM
STUDIOSCENESETTINGS_VOLUME	Volume
STUDIOSCENESETTINGS_PLAYBACK	Playback
STUDIOSCENESETTINGS_SKYBOX	Skybox
STUDIOSCENESETTINGS_TOGGLE	Toggle
STUDIOSCENESETTINGS_USECAMERALIGHT	Use Camera Light

STUDIOSCENESETTINGS_SELECT	Select
STUDIOSCENESETTINGS_STOP	Stop
STUDIOSCENESETTINGS_START	Start
STUDIOSCENESETTINGS_RESET	Reset
STUDIOSCENESETTINGS_INTENSITY	Intensity
STUDIOSCENESETTINGS_ROTATION	Rotation

STUDIOSCENESETTINGS_FROMSCENE	Loaded Scene
STUDIOSCENESETTINGS_PICKIMAGE	Pick Custom Image
STUDIOSCENESETTINGS_PICKBGM	Pick Custom BGM
STUDIOSCENESETTINGS_PICKSKYBOX	Pick Custom Skybox

STUDIOSETTINGS_REFLECTION	Reflection
STUDIOSETTINGS_LIGHTING	Lighting
