STUDIOSETTINGS_TITLE	Studio Settings
STUDIOSETTINGS_OBJCREATION_TITLE	Object Creation
STUDIOSETTINGS_GIZMO_TITLE	Gizmo
STUDIOSETTINGS_TARGETDISPLAY_TITLE	Targets - Display
STUDIOSETTINGS_TARGETSIZE_TITLE	Targets - Size
STUDIOSETTINGS_CAMERA_TITLE	Camera

STUDIOSETTINGS_DISPLAY	Display

STUDIOSETTINGS_LOCATION	Location
STUDIOSETTINGS_ORIGIN	Origin
STUDIOSETTINGS_CAMERA	Camera

STUDIOSETTINGS_PARENT	Parent
STUDIOSETTINGS_ROOT	Root
STUDIOSETTINGS_SELOBJ	Selected

STUDIOSETTINGS_SIZE	Size

STUDIOSETTINGS_OBJECTS	Objects
STUDIOSETTINGS_CHARA	Characters
STUDIOSETTINGS_FOLDERS	Folders
STUDIOSETTINGS_IKTARGETS	IK Targets
STUDIOSETTINGS_LOOKTARGETS	Look Targets

STUDIOSETTINGS_SHOWCAMTARGET	Show Camera Target
STUDIOSETTINGS_FOV	Field of View
STUDIOSETTINGS_VIEWDISTANCE	View Distance

STUDIOSETTINGS_RESET	Reset
