NOTIFICATION_TITLE_CLOTHINGFITTING	Clothing Fitting
NOTIFICATION_TITLE_MISSINGMOD	Missing Mod
NOTIFICATION_TITLE_MODIFIEDMOD	Modified Mod
NOTIFICATION_TITLE_BACKGROUND	Background
NOTIFICATION_TITLE_BGM	Background Music
NOTIFICATION_TITLE_SETTINGS	Settings
NOTIFICATION_TITLE_SCREENSHOT	Screenshot
NOTIFICATION_TITLE_TEXTURE	Texture
NOTIFICATION_TITLE_SKYBOX	Skybox
NOTIFICATION_TITLE_BROKENCHARA	Broken Character
NOTIFICATION_TITLE_BROKENPOSE	Broken Pose
NOTIFICATION_TITLE_BROKENEXPR	Broken Expression
NOTIFICATION_TITLE_MISSINGCHARAPART	Missing Body Part

NOTIFICATION_TITLE_DATAOBJ_CHARACTERCARD	Character
NOTIFICATION_TITLE_DATAOBJ_OUTFITCARD	Outfit
NOTIFICATION_TITLE_DATAOBJ_STUDIOSCENECARD	Studio Scene
NOTIFICATION_TITLE_DATAOBJ_EXPRESSION	Expression
NOTIFICATION_TITLE_DATAOBJ_NAMES	Names
NOTIFICATION_TITLE_DATAOBJ_SETTINGS	Settings
NOTIFICATION_TITLE_DATAOBJ_POSECARD	Pose

NOTIFICATION_TITLE_UNDO	Undo
NOTIFICATION_TITLE_REDO	Redo

NOTIFICATION_DESC_CLOTHINGFITTING_COMPLETE	Clothing fitting process complete. (took: {{0}}ms)

NOTIFICATION_DESC_MOD_VERSIONDIFF	Mod {{0}} ID {{1}} version {{2}} differs from installed {{3}}, possible incompatibilities
NOTIFICATION_DESC_MOD_NOTFOUND	Mod {{0}} ID {{1}} not found, skipping
NOTIFICATION_DESC_MOD_NOTFOUND_DEFAULTING	Mod {{0}} ID {{1}} not found, defaulting
NOTIFICATION_DESC_MOD_TYPEDIFF	Mod {{0}} ID {{1}} item type differs from expected, skipping
NOTIFICATION_DESC_MOD_TYPEDIFF_DEFAULTING	Mod {{0}} ID {{1}} item type differs from expected, defaulting

NOTIFICATION_DESC_BACKGROUND_FAILED	Failed to load background image
NOTIFICATION_DESC_BGM_FAILED	Failed to load background music
NOTIFICATION_DESC_SKYBOX_FAILED	Failed to load skybox

NOTIFICATION_DESC_CHARA_FAILED	Character failed to load, defaulting
NOTIFICATION_DESC_POSE_FAILED	Pose failed to load, skipping
NOTIFICATION_DESC_EXPR_FAILED	Expression failed to load, skipping
NOTIFICATION_DESC_CHARAPART_NOTFOUND_DEFAULTING	Body Part {{0}} not found, defaulting

NOTIFICATION_DESC_DATA_SAVED	Successfully saved data
NOTIFICATION_DESC_DATA_LOADED	Successfully loaded data
NOTIFICATION_DESC_DATA_ADDED	Successfully added data
NOTIFICATION_DESC_DATA_DELETED	Successfully deleted data
NOTIFICATION_DESC_DATA_WFAILED	Failed saving data
NOTIFICATION_DESC_DATA_RFAILED	Failed reading data

NOTIFICATION_DESC_SAVEDAS	Saved as {{0}}

NOTIFICATION_DESC_SETTINGS_DEFAULTED	Defaulted all settings
NOTIFICATION_DESC_SETTING_FAILED	Failed to save setting {{0}}

NOTIFICATION_DESC_UNDO_SUCCESS	Undo Successful
NOTIFICATION_DESC_UNDO_FAIL	Undo Failed

NOTIFICATION_DESC_REDO_SUCCESS	Redo Successful
NOTIFICATION_DESC_REDO_FAIL	Redo Failed
