TOOLTIP_CHARA	Character
TOOLTIP_OUTFIT	Outfit
TOOLTIP_STUDIOSCENE	Studio Scene

TOOLTIP_STUDIOWORKSPACE_TITLE	Workspace
TOOLTIP_STUDIOWORKSPACE_CLEAR	Remove all objects
TOOLTIP_STUDIOWORKSPACE_REMOVE	Remove selected objects
TOOLTIP_STUDIOWORKSPACE_CUT	Cut objects
TOOLTIP_STUDIOWORKSPACE_COPY	Copy objects
TOOLTIP_STUDIOWORKSPACE_DUPLICATE	Duplicate object
TOOLTIP_STUDIOWORKSPACE_PASTE	Paste objects
TOOLTIP_STUDIOWORKSPACE_RENAME	Rename object
TOOLTIP_STUDIOWORKSPACE_FOLDER	Create Folder
TOOLTIP_STUDIOWORKSPACE_ADDCHARA	Add Character
TOOLTIP_STUDIOWORKSPACE_EDITCHARA	Edit Character
