MATCUSTOMIZER_TITLE	Material Customizer
MATCUSTOMIZER_SELECTEDMATERIAL	Selected Material:
MATCUSTOMIZER_DISPLAY	Display:
MATCUSTOMIZER_RESET	Reset
MATCUSTOMIZER_NONESELECTED	None
MATCUSTOMIZER_EXPORT	Export

MATCUSTOMIZER_TILING	Tiling
MATCUSTOMIZER_OFFSET	Offset
MATCUSTOMIZER_TOGGLE	Toggle

MATCUSTOMIZER_TOGGLE_COLORS	Colors
MATCUSTOMIZER_TOGGLE_VECTORS	Vectors
MATCUSTOMIZER_TOGGLE_FLOATS	Floats
MATCUSTOMIZER_TOGGLE_RANGES	Ranges
MATCUSTOMIZER_TOGGLE_TEXTURES	Textures
MATCUSTOMIZER_TOGGLE_INTS	Ints
MATCUSTOMIZER_TOGGLE_DROPDOWNS	Dropdowns
MATCUSTOMIZER_TOGGLE_TOGGLES	Toggles

MATCUSTOMIZER_COPY	Copy
MATCUSTOMIZER_PASTE	Paste
MATCUSTOMIZER_EXPORTUV	Export UV
