SETTINGS_PAGE_GENERAL_HEADER_LANG	Language
SETTINGS_PAGE_GENERAL_HEADER_GIZMO	Gizmo
SETTINGS_PAGE_GENERAL_HEADER_SELECTION	Selection
SETTINGS_PAGE_GENERAL_HEADER_DEBUG	Debug
SETTINGS_PAGE_GENERAL_HEADER_SCREENSHOT	Screenshot
SETTINGS_PAGE_GENERAL_HEADER_UI	 UI 

SETTINGS_PAGE_GENERAL_UI_ANIMATIONSPEED	Animation Speed

SETTINGS_PAGE_GENERAL_GIZMOSIZE	Size Multiplier
SETTINGS_PAGE_GENERAL_OUTLINEWIDTH	Outline Width
SETTINGS_PAGE_GENERAL_OUTLINECOLOR	Outline Color
SETTINGS_PAGE_GENERAL_TOGGLEPERFPANEL	Toggle Performance Panel
SETTINGS_PAGE_GENERAL_TOGGLEDATAOBJCOMPRESSION	Toggle Dataobject Compression

SETTINGS_PAGE_GENERAL_SS_FORMAT	Date Format
SETTINGS_PAGE_GENERAL_SS_ALPHA	Toggle Transparency
SETTINGS_PAGE_GENERAL_SS_UPSCALE	Upscaling

SETTINGS_PAGE_GENERAL_SS_NONE	No Upscaling
SETTINGS_PAGE_GENERAL_SS_TWO	2x Upscaling
SETTINGS_PAGE_GENERAL_SS_FOUR	4x Upscaling
SETTINGS_PAGE_GENERAL_SS_EIGHT	8x Upscaling

SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPLEFT	Top Left
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPCENTER	Top Center
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPRIGHT	Top Right
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLELEFT	Middle Left
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLECENTER	Middle Center
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLERIGHT	Middle Right
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMLEFT	Bottom Left
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMCENTER	Bottom Center
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMRIGHT	Bottom Right
