MODCREATOR_BASIC_COMPCONF	Konfiguration Komponenten
MODCREATOR_BASIC_TYPE	Typ
MODCREATOR_BASIC_HAIRSLOT	Slot 'Haare'
MODCREATOR_BASIC_CLOTHSLOT	Slot 'Kleidung'
MODCREATOR_BASIC_STUDIOSLOT	Slot 'Studio Objekt'
MODCREATOR_BASIC_CLOTHSTATE	Status Kleidung
MODCREATOR_BASIC_ACCSLOT	Slot 'Zubehör'
MODCREATOR_BASIC_TEXTYPE	Textur-Typ
MODCREATOR_BASIC_TEX	Textur
MODCREATOR_BASIC_PARENT	Standard Elterntyp
MODCREATOR_BASIC_USAGE	Verwendung
MODCREATOR_BASIC_SCENECONF	Konfiguration Szene
MODCREATOR_BASIC_ITEMCONF	Konfiguration Item
MODCREATOR_BASIC_NAME	Name
MODCREATOR_BASIC_DESC	Beschreibung
MODCREATOR_BASIC_ICON	Icon
MODCREATOR_BASIC_TAGS	Tags
MODCREATOR_BASIC_ADVEDIT	Erweiterte Einstellungen
MODCREATOR_BASIC_COPY	Kopieren
MODCREATOR_BASIC_PASTE	Einfügen

MODCREATOR_BASIC_NSFWCAT	R18 Inhalte
MODCREATOR_BASIC_ISNSFW	NSFW
MODCREATOR_BASIC_NSFWWARN1	Alle gemoddeten Inhalte für R18 müssen mit 'NSFW' getaggt sein.
MODCREATOR_BASIC_NSFWWARN2	Dies schließt anzügliche / transparente Kleidung, Nackt-Poster, Strip Clubs, etc... ein.
MODCREATOR_BASIC_NSFWWARN3	NSFW gemoddete Inhalte will sind nicht verfügbar, wenn das Spiel im SFW Modus ausgeführt wird.

MODCREATOR_BASIC_CLOTHSTATE_FULL	Voll
MODCREATOR_BASIC_CLOTHSTATE_HALF	Halb
MODCREATOR_BASIC_CLOTHSTATE_OFF	Aus

MODCREATOR_BASIC_ACCSLOT_HEAD	Kopf
MODCREATOR_BASIC_ACCSLOT_NECK	Nacken
MODCREATOR_BASIC_ACCSLOT_UPPERBODY	Oberkörper
MODCREATOR_BASIC_ACCSLOT_LOWERBODY	Unterkörper
MODCREATOR_BASIC_ACCSLOT_ARMS	Arme
MODCREATOR_BASIC_ACCSLOT_HANDS	Hände
MODCREATOR_BASIC_ACCSLOT_LEGS	Beine
MODCREATOR_BASIC_ACCSLOT_FEET	Füße

MODCREATOR_BASIC_CLOTHSLOT_BRA	BH
MODCREATOR_BASIC_CLOTHSLOT_PANTIES	Unterwäsche
MODCREATOR_BASIC_CLOTHSLOT_SOCKS	Socken
MODCREATOR_BASIC_CLOTHSLOT_STOCKINGS	Strümpfe
MODCREATOR_BASIC_CLOTHSLOT_SHIRT	Shirt
MODCREATOR_BASIC_CLOTHSLOT_COAT	Mantel
MODCREATOR_BASIC_CLOTHSLOT_ONEPIECE	Einteiler
MODCREATOR_BASIC_CLOTHSLOT_SKIRT	Rock
MODCREATOR_BASIC_CLOTHSLOT_PANTS	Hose
MODCREATOR_BASIC_CLOTHSLOT_SHOES	Schuhe

MODCREATOR_BASIC_STUDIOSLOT_BASICSHAPES	BGrundformen
MODCREATOR_BASIC_STUDIOSLOT_LIGHTS	Lichter
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS2D	2D Effekte
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS3D	3D Effekte
MODCREATOR_BASIC_STUDIOSLOT_SMALLOBJECTS	Kleine Objekte
MODCREATOR_BASIC_STUDIOSLOT_LARGEOBJECTS	Große Objekte
MODCREATOR_BASIC_STUDIOSLOT_MISCOBJECTS	Andere Objekte
MODCREATOR_BASIC_STUDIOSLOT_HRELATED	H-bezogen
MODCREATOR_BASIC_STUDIOSLOT_FOODRELATED	Lebensmittelbezogen
MODCREATOR_BASIC_STUDIOSLOT_CHARARELATED	Charakterbezogen
MODCREATOR_BASIC_STUDIOSLOT_FURNITURE	Möbel
MODCREATOR_BASIC_STUDIOSLOT_BUILDINGS	Gebäude
MODCREATOR_BASIC_STUDIOSLOT_GIMMICKS	Spielerei

MODCREATOR_BASIC_HAIRSLOT_FRONTHAIR	Frisur (Front)
MODCREATOR_BASIC_HAIRSLOT_SIDEHAIR	Frisur (Seiten)
MODCREATOR_BASIC_HAIRSLOT_BACKHAIR	Frisur (Hinten)
MODCREATOR_BASIC_HAIRSLOT_EXTENSION	Erweiterung

MODCREATOR_BASIC_TEXTYPE_FACESKIN	Gesichts-Skin
MODCREATOR_BASIC_TEXTYPE_BODYSKIN	Körper-Skin

MODCREATOR_BASIC_TYPE_CLOTHING	Kleidung
MODCREATOR_BASIC_TYPE_ACCESSORY	Zubehör
MODCREATOR_BASIC_TYPE_HAIR	Frisur
MODCREATOR_BASIC_TYPE_TEXTURE	Textur

MODCREATOR_BUILDER_COMPTYPE_NULLVALUE	Standard
MODCREATOR_BUILDER_COMPTYPE_NONE	Dekomprimiert
MODCREATOR_BUILDER_COMPTYPE_ZSTANDARD	Zstandard
MODCREATOR_BASIC_GENDERS	Unterstützte Geschlechter
MODCREATOR_BASIC_CLOTHSLOT_BOXERS	Boxershorts
MODCREATOR_BASIC_HAIRSLOT_HAIRSET	Frisur Set
MODCREATOR_BASIC_TEXTYPE_NIPPLES	Brustwarzen
