MODCREATOR_BUILDER_MODINFO	Mod Informationen
MODCREATOR_BUILDER_NAME	Name
MODCREATOR_BUILDER_DESC	Beschreibung
MODCREATOR_BUILDER_AUTHOR	Autor
MODCREATOR_BUILDER_VERSION	Version
MODCREATOR_BUILDER_COMPATVER	Kompatible Versionen
MODCREATOR_BUILDER_DEPS	Abhängigkeiten
MODCREATOR_BUILDER_CHARAOBJ	Charakter-Objekte
MODCREATOR_BUILDER_STUDIOOBJ	Studio-Objeckte
MODCREATOR_BUILDER_MODSCENE	Modded Szenen
MODCREATOR_BUILDER_DEBUG	Debug Modus
MODCREATOR_BUILDER_ASSIGN	Komponenten Zuweisen
MODCREATOR_BUILDER_BUILD	Mod Erstellen
MODCREATOR_BUILDER_RESET	Standard
MODCREATOR_BUILDER_COMPTYPE	Kompressionstyp
MODCREATOR_BUILDER_DECOMPRESS	Dekomprimiere Mod
MODCREATOR_BUILDER_COMPRESS	Komprimiere Mod
MODCREATOR_BUILDER_DEFAULT	Standard
MODCREATOR_BUILDER_LOAD	Lade Mod
MODCREATOR_BUILDER_ASMINFO	Assembly
MODCREATOR_BUILDER_SIZE	Größe
MODCREATOR_BUILDER_LIST	Liste
