STUDIOCHARSETTINGS_EXPRPANEL_TITLE	Ausdruck
STUDIOCHARSETTINGS_EXPRPANEL_NONESELECTED	Kein Charakter ausgewählt
STUDIOCHARSETTINGS_EXPRPANEL_ONLYONEALLOWED	Nur ein Charakter kann zeitgleich bearbeitet werden
STUDIOCHARSETTINGS_EXPRPANEL_NOTSUPPORTED	Dieser Charakter unterstützt keine Ausdrücke

STUDIOCHARSETTINGS_EXPRPANEL_EYES	Augen
STUDIOCHARSETTINGS_EXPRPANEL_MOUTH	Mund

STUDIOCHARSETTINGS_EXPRPANEL_TOGGLE	Umschalten
STUDIOCHARSETTINGS_EXPRPANEL_EXPRESSION	Ausdruck
STUDIOCHARSETTINGS_EXPRPANEL_AUTO	Automatisch

STUDIOCHARSETTINGS_EXPRPANEL_OPENING	Öffnen
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGL	Öffnen (L)
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGR	Öffnen (R)
STUDIOCHARSETTINGS_EXPRPANEL_SPLITOPENING	Augen getrennt öffnen
STUDIOCHARSETTINGS_EXPRPANEL_BLINKING	Blinzeln
