STUDIOCHARSETTINGS_EYEHEADPANEL_TITLE	Blick & Kopf Optionen
STUDIOCHARSETTINGS_EYEHEADPANEL_NONESELECTED	Kein Charakter ausgewählt
STUDIOCHARSETTINGS_EYEHEADPANEL_ONLYONEALLOWED	Nur ein Charakter kann zeitgleich bearbeitet werden
STUDIOCHARSETTINGS_EYEHEADPANEL_NOTSUPPORTED	Dieser Charakter unterstützt keine Optionen für Blick & Kopf

STUDIOCHARSETTINGS_EYEHEADPANEL_EYES	Blick
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD	Kopf

STUDIOCHARSETTINGS_EYEHEADPANEL_DIRECTION	Richtung

STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UP	Oben
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWN	Unten
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_LEFT	Links
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_RIGHT	Rechts
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPLEFT	Oben links
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPRIGHT	Oben rechts
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNLEFT	Unten links
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNRIGHT	Unten rechts

STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UP	Oben
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWN	Unten
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_LEFT	Links
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_RIGHT	Rechts
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPLEFT	Oben links
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPRIGHT	Oben rechts
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNLEFT	Unten links
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNRIGHT	Unten rechts
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_CAMERA	Kamera
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_MANUAL	Manuell
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_FORWARD	Vorwärts
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_CAMERA	Kamera
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_ANIMATION	Animation
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_MANUAL	Manuell
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_FORWARD	Vorwärts
STUDIOCHARSETTINGS_EYEHEADPANEL_COPY	Kopieren
STUDIOCHARSETTINGS_EYEHEADPANEL_PASTE	Einfügen
