STUDIOCHARSETTINGS_IKCORRPANEL_TITLE	IK Korrektur
STUDIOCHARSETTINGS_IKCORRPANEL_NONESELECTED	Kein Charakter ausgewählt
STUDIOCHARSETTINGS_IKCORRPANEL_ONLYONEALLOWED	Nur ein Charakter kann zeitgleich bearbeitet werden
STUDIOCHARSETTINGS_IKCORRPANEL_EVERYTHING_TITLE	Alles
STUDIOCHARSETTINGS_IKCORRPANEL_TOGGLE	Umschalten
STUDIOCHARSETTINGS_IKCORRPANEL_DISABLE	Deaktivieren	-4
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTFOREARM	Linker Unterarm
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTFOREARM	Rechter Unterarm
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTUPPERARM	Linker Oberarm
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTUPPERARM	Rechter Oberarm
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTCALF	Linke Wade
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTCALF	Rechte Wade
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTTHIGH	Linker Oberschenkel
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTTHIGH	Rechter Oberschenkel
STUDIOCHARSETTINGS_IKCORRPANEL_WEIGHT	Gewicht
STUDIOCHARSETTINGS_IKCORRPANEL_CROSSFADE	Überblendung
STUDIOCHARSETTINGS_IKCORRPANEL_ANGOFFSET	Winkel-Versatz
STUDIOCHARSETTINGS_IKCORRPANEL_MIRROR	Spiegelwerte	-4
STUDIOCHARSETTINGS_IKCORRPANEL_COPY	Kopieren
STUDIOCHARSETTINGS_IKCORRPANEL_PASTE	Einfügen
