STUDIOCHARSETTINGS_IKPOSEPANEL_TITLE	IK Poses
STUDIOCHARSETTINGS_IKPOSEPANEL_NONESELECTED	Kein Charakter ausgewählt
STUDIOCHARSETTINGS_IKPOSEPANEL_ONLYONEALLOWED	Nur ein Charakter kann zeitgleich bearbeitet werden

STUDIOCHARSETTINGS_IKPOSEPANEL_NONEAVAILABLE	Keine Posen verfügbar

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADING_TITLE	Laden
STUDIOCHARSETTINGS_IKPOSEPANEL_SAVING_TITLE	Sichern

STUDIOCHARSETTINGS_IKPOSEPANEL_NAME	Name

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVE	Speichern

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVEPOSE	Pose Speichern	-1

STUDIOCHARSETTINGS_IKPOSEPANEL_MANAGE	Verwalten

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADPOSE	Pose Laden
STUDIOCHARSETTINGS_IKPOSEPANEL_DELETEPOSE	Pose Löschen
