SETTINGS_PAGE_CTRL_HEADER_SCREENSHOT	Screenshot
SETTINGS_PAGE_CTRL_HEADER_STUDIO	Studio
SETTINGS_PAGE_CTRL_HEADER_ACTIONS	Aktionen

SETTINGS_PAGE_CTRL_SCREENSHOT_UI	UI Screenshot
SETTINGS_PAGE_CTRL_SCREENSHOT_REND	Gerenderter Screenshot

SETTINGS_PAGE_CTRL_ACTIONS_UNDO	Zurücknehmen
SETTINGS_PAGE_CTRL_ACTIONS_REDO	Wiederholen

SETTINGS_PAGE_CTRL_STUDIO_COPY	Objekte kopieren
SETTINGS_PAGE_CTRL_STUDIO_DUPLICATE	Objekt duplizieren
SETTINGS_PAGE_CTRL_STUDIO_CUT	Objekt ausschneiden
SETTINGS_PAGE_CTRL_STUDIO_PASTE	Objekte einfügen
SETTINGS_PAGE_CTRL_STUDIO_REMOVE	Objekte entfernen
SETTINGS_PAGE_CTRL_STUDIO_RENAME	Objekt umbenennen


SETTINGS_PAGE_CTRL_STUDIO_MULTIMOD	Modifikator „Mehrfachauswahl“
SETTINGS_PAGE_CTRL_STUDIO_RANGEMOD	Modifikator „Bereichsauswahl“
SETTINGS_PAGE_CTRL_HEADER_MAKER	Maker
SETTINGS_PAGE_CTRL_MAKER_REMOVE	Objekt entfernen
SETTINGS_PAGE_CTRL_MAKER_APPENDMOD	Objektmodifikator hinzufügen
SETTINGS_PAGE_CTRL_MAKER_EDIT	Objekt anpassen
SETTINGS_PAGE_CTRL_CAMERA_FOLLOW	Objekt verfolgen
SETTINGS_PAGE_CTRL_CAMERA_RESET	Standard
SETTINGS_PAGE_CTRL_HEADER_CAMERA	Kamera
SETTINGS_PAGE_CTRL_ACTIONS_PAUSE	Pause
