CHARAOBJPANEL_NONESELECTED	Nessun oggetto selezionato
CHARAOBJPANEL_NONEAVAILABLE	Nessun oggetto disponibile

CHARAOBJPANEL_SEARCH_NAME	Nome
CHARAOBJPANEL_SEARCH_DESC	Descrizione
CHARAOBJPANEL_SEARCH_TAGS	Tags

CHARAOBJLAYERPANEL_REMOVE	Rimuovi
CHARAOBJLAYERPANEL_EDIT	Modifica
CHARAOBJEDITPANEL_HEADER_TRANSFORM	Transform
CHARAOBJEDITPANEL_HEADER_ACCESSORY	Accessori
CHARAOBJEDITPANEL_NONESELECTED	None
CHARAOBJEDITPANEL_GIZMO	Gizmo Movimento
CHARAOBJEDITPANEL_DISPLAY	Mostra
CHARAOBJEDITPANEL_PARENT	Oggetto Padre:
CHARAOBJEDITPANEL_BOUNDCLOTHING	Connesso all'abito:
CHARAOBJEDITPANEL_VISIBILITY	Visibilità
CHARAOBJEDITPANEL_VISIBILITY_ESSENTIAL	Essenziale
CHARAOBJEDITPANEL_VISIBILITY_IMPORTANT	Importante
CHARAOBJEDITPANEL_VISIBILITY_UNIMPORTANT	Non Importante
CHARAOBJEDITPANEL_HEADER_COLORS	Colori
CHARAOBJEDITPANEL_RESET	Reset
CHARAOBJEDITPANEL_HEADER_TEXTURE	Texture
CHARAOBJEDITPANEL_EXPORT	Esporta
CHARAOBJEDITPANEL_SYNCCOLORSTOBODY	Sincronizza colore al corpo	-2
CHARAOBJEDITPANEL_SYNCCOLORSTOFACE	Sincronizza colore alla faccia	-3
