STUDIOCHARSETTINGS_CLOTHACCPANEL_TITLE	Abiti e Accessori
STUDIOCHARSETTINGS_CLOTHACCPANEL_NONESELECTED	Nessun personaggio selezionato
STUDIOCHARSETTINGS_CLOTHACCPANEL_ONLYONEALLOWED	Solo un personaggio alla volta può essere modificato

STUDIOCHARSETTINGS_CLOTHACCPANEL_SETS	Set
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH	Abiti
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC	Accessori

STUDIOCHARSETTINGS_CLOTHACCPANEL_SET	Set
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEAR	Indossa
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEARING	Indossato
STUDIOCHARSETTINGS_CLOTHACCPANEL_TOGGLE	Attiva/Disattiva	-3
STUDIOCHARSETTINGS_CLOTHACCPANEL_STATE	Stato

STUDIOCHARSETTINGS_CLOTHACCPANEL_DEFAULTOUTFIT	Abito di Default
STUDIOCHARSETTINGS_CLOTHACCPANEL_NEWOUTFIT	Nuovo Abito
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLONEDOUTFIT	Clona Abito

STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_PERCLOTHCONTROL	Controlli per abito
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_AUTO	Automatico
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_CLOTHED	Indossato
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_UNDERWEAR	Intimo
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_HALF	Parzialmente	-3
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_NAKED	Nudo
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_FULL	Indossato	-3
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_OFF	Non Indossato	-4

STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_PERACCCONTROL	Controlli per accessorio
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_ESSENTIAL	Essenziale
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_IMPORTANT	Importante
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_UNIMPORTANT	Non Importante	-2
