STUDIOCHARSETTINGS_EXPRPANEL_TITLE	Espressione
STUDIOCHARSETTINGS_EXPRPANEL_NONESELECTED	Nessun personaggio selezionato
STUDIOCHARSETTINGS_EXPRPANEL_ONLYONEALLOWED	Solo un personaggio alla volta può essere selezionato
STUDIOCHARSETTINGS_EXPRPANEL_NOTSUPPORTED	Questo personaggio non supporta le espressioni

STUDIOCHARSETTINGS_EXPRPANEL_EYES	Occhi
STUDIOCHARSETTINGS_EXPRPANEL_MOUTH	Bocca

STUDIOCHARSETTINGS_EXPRPANEL_TOGGLE	Interruttore
STUDIOCHARSETTINGS_EXPRPANEL_EXPRESSION	Espressione
STUDIOCHARSETTINGS_EXPRPANEL_AUTO	Automatica

STUDIOCHARSETTINGS_EXPRPANEL_OPENING	Apertura
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGL	Apertura (Sx)	-2
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGR	Apertura (Dx)	-2
STUDIOCHARSETTINGS_EXPRPANEL_SPLITOPENING	Apertura separata
STUDIOCHARSETTINGS_EXPRPANEL_BLINKING	Battito delle ciglia
STUDIOCHARSETTINGS_EXPRPANEL_COPY	Copia
STUDIOCHARSETTINGS_EXPRPANEL_PASTE	Incolla
