STUDIOCHARSETTINGS_EYEHEADPANEL_TITLE	Controlli sguardo e testa
STUDIOCHARSETTINGS_EYEHEADPANEL_NONESELECTED	Nessun personaggio selezionato
STUDIOCHARSETTINGS_EYEHEADPANEL_ONLYONEALLOWED	Solo un personaggio alla volta può essere selezionato
STUDIOCHARSETTINGS_EYEHEADPANEL_NOTSUPPORTED	Questo personaggio non supporta il controllo dello sguardo e della testa

STUDIOCHARSETTINGS_EYEHEADPANEL_EYES	Sguardo
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD	Testa

STUDIOCHARSETTINGS_EYEHEADPANEL_DIRECTION	Direzione

STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UP	Su
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWN	Giù
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_LEFT	Sinistra
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_RIGHT	Destra
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPLEFT	Sinistra su
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPRIGHT	Destra su
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNLEFT	Sinistra giù
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNRIGHT	Destra giù

STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UP	Su
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWN	Giù
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_LEFT	Sinistra
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_RIGHT	Destra
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPLEFT	Sinistra su
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPRIGHT	Destra su
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNLEFT	Sinistra giù
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNRIGHT	Destra giù
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_CAMERA	Camera
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_MANUAL	Manuale
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_FORWARD	In fronte
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_CAMERA	Camera
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_ANIMATION	Animazione
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_MANUAL	Manuale
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_FORWARD	In fronte
