STUDIOCHARSETTINGS_IKCORRPANEL_TITLE	IK Correzione
STUDIOCHARSETTINGS_IKCORRPANEL_NONESELECTED	Nessun personaggio selezionato
STUDIOCHARSETTINGS_IKCORRPANEL_ONLYONEALLOWED	È possibile selezionare solo un personaggio alla volta
STUDIOCHARSETTINGS_IKCORRPANEL_EVERYTHING_TITLE	Tutto
STUDIOCHARSETTINGS_IKCORRPANEL_TOGGLE	Attiva/Disattiva
STUDIOCHARSETTINGS_IKCORRPANEL_DISABLE	Disattiva
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTFOREARM	Avambraccio sinistro
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTFOREARM	Avambraccio destro
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTUPPERARM	Braccio superiore sinistro
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTUPPERARM	Braccio superiore destro
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTCALF	Polpaccio sinistro
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTCALF	Polpaccio destro
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTTHIGH	Coscia sinistra
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTTHIGH	Coscia destra
STUDIOCHARSETTINGS_IKCORRPANEL_WEIGHT	Influenza
STUDIOCHARSETTINGS_IKCORRPANEL_CROSSFADE	Crossfade
STUDIOCHARSETTINGS_IKCORRPANEL_ANGOFFSET	Offset Angolo
STUDIOCHARSETTINGS_IKCORRPANEL_MIRROR	Speculari	-1
STUDIOCHARSETTINGS_IKCORRPANEL_COPY	Copia
STUDIOCHARSETTINGS_IKCORRPANEL_PASTE	Incolla
