STUDIOCHARSETTINGS_IKPOSEPANEL_TITLE	Pose Cinematica Inversa
STUDIOCHARSETTINGS_IKPOSEPANEL_NONESELECTED	Nessun personaggio selezionato
STUDIOCHARSETTINGS_IKPOSEPANEL_ONLYONEALLOWED	È possibile selezionare solo un personaggio alla volta

STUDIOCHARSETTINGS_IKPOSEPANEL_NONEAVAILABLE	Nessuna posa disponibile

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADING_TITLE	Caricamento
STUDIOCHARSETTINGS_IKPOSEPANEL_SAVING_TITLE	Salvataggio

STUDIOCHARSETTINGS_IKPOSEPANEL_NAME	Nome

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVE	Salva

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVEPOSE	Salva Posa

STUDIOCHARSETTINGS_IKPOSEPANEL_MANAGE	Gestisci

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADPOSE	Carica Posa
STUDIOCHARSETTINGS_IKPOSEPANEL_DELETEPOSE	Elimina Posa
