CHARAPROFILE_TITLE	Profilo Personaggio
CHARAPROFILE_BASIC_TITLE	Informazione di base
CHARAPROFILE_OPTIONS_TITLE	Opzioni personaggio
CHARAPROFILE_BIO_TITLE	Biografia del personaggio

CHARAPROFILE_RANDOM	Random

CHARAPROFILE_FAMILYNAME	Cognome
CHARAPROFILE_GIVENNAME	Nome
CHARAPROFILE_BIRTHDATE	Data di nascita
CHARAPROFILE_BLOODTYPE	Gruppo Sanguigno
CHARAPROFILE_NICKNAME	Soprannome
CHARAPROFILE_PERSONALITY	Personalità

CHARAPROFILE_MONTH_JANUARY	Gennaio
CHARAPROFILE_MONTH_FEBRUARY	Febbraio
CHARAPROFILE_MONTH_MARCH	Marzo
CHARAPROFILE_MONTH_APRIL	Aprile
CHARAPROFILE_MONTH_MAY	Maggio
CHARAPROFILE_MONTH_JUNE	Giugno
CHARAPROFILE_MONTH_JULY	Luglio
CHARAPROFILE_MONTH_AUGUST	Augosto
CHARAPROFILE_MONTH_SEPTEMBER	Settembre
CHARAPROFILE_MONTH_OCTOBER	Ottobre
CHARAPROFILE_MONTH_NOVEMBER	Novembre
CHARAPROFILE_MONTH_DECEMBER	Dicembre

CHARAPROFILE_FUTA	Futanari
CHARAPROFILE_TOGGLE	Toggle
