CONTROLPANEL_POSES_TITLE	Controlli posa
CONTROLPANEL_POSES_EYEDIR	Direzione sguardo
CONTROLPANEL_POSES_HEADDIR	Direzione testa
CONTROLPANEL_POSES_LEFTHANDPOSE	Posa della mano sinistra
CONTROLPANEL_POSES_RIGHTHANDPOSE	Posa della mano destra
CONTROLPANEL_POSES_POSE	Selezione posa
CONTROLPANEL_POSES_POSESPEED	Velocità posa

CONTROLPANEL_POSES_NONE	None

CONTROLPANEL_POSE_LOOK_UP	Su
CONTROLPANEL_POSE_LOOK_DOWN	Giù
CONTROLPANEL_POSE_LOOK_LEFT	Sinistra
CONTROLPANEL_POSE_LOOK_RIGHT	Destra
CONTROLPANEL_POSE_LOOK_UPLEFT	Sinistra su
CONTROLPANEL_POSE_LOOK_UPRIGHT	Destra su
CONTROLPANEL_POSE_LOOK_DOWNLEFT	Sinistra giù
CONTROLPANEL_POSE_LOOK_DOWNRIGHT	Destra giù

CONTROLPANEL_POSE_HEAD_UP	Su
CONTROLPANEL_POSE_HEAD_DOWN	Giù
CONTROLPANEL_POSE_HEAD_LEFT	Sinistra
CONTROLPANEL_POSE_HEAD_RIGHT	Destra
CONTROLPANEL_POSE_HEAD_UPLEFT	Sinistra su
CONTROLPANEL_POSE_HEAD_UPRIGHT	Destra su
CONTROLPANEL_POSE_HEAD_DOWNLEFT	Sinistra giù
CONTROLPANEL_POSE_HEAD_DOWNRIGHT	Destra giù
CONTROLPANEL_POSE_LOOK_CAMERA	Camera
CONTROLPANEL_POSE_LOOK_MANUAL	Manuale
CONTROLPANEL_POSE_LOOK_FORWARD	In fronte
CONTROLPANEL_POSE_HEAD_CAMERA	Camera
CONTROLPANEL_POSE_HEAD_ANIMATION	Animazione
CONTROLPANEL_POSE_HEAD_MANUAL	Manuale
CONTROLPANEL_POSE_HEAD_FORWARD	In fronte
CONTROLPANEL_POSES_FKIK	FK/IK Pose
CONTROLPANEL_POSES_FKIKSEL	FK/IK Selection
