EYESCUSTOMPANEL_TITLE	Personalizzazione Occhi
EYESCUSTOMPANEL_NONESELECTED	Nessuna
EYESCUSTOMPANEL_NONEAVAILABLE	Nessun Oggetto Disponibile
EYESCUSTOMPANEL_SEARCH_NAME	Nome
EYESCUSTOMPANEL_SEARCH_DESC	Descrizione	-1
EYESCUSTOMPANEL_SEARCH_TAGS	Tag
EYESCUSTOMPANEL_BASICNOTAVAIL	Non disponibile nella modalità Base
EYESCUSTOMPANEL_BACK	Indietro
EYESCUSTOMPANEL_RESET	Reset
EYESCUSTOMPANEL_ADVANCED	Avanzate
EYESCUSTOMPANEL_SENDTOOTHER	Manda All'Altro
EYESCUSTOMPANEL_READFROMOTHER	Copia Dall'Altro
EYESCUSTOMPANEL_ENABLE	Abilita
EYESCUSTOMPANEL_AUTOMATIC	Automatico
EYESCUSTOMPANEL_INVERT	Inverti
EYESCUSTOMPANEL_UNSELECT	Deseleziona
EYESCUSTOMPANEL_GRADTYPE	Tipo Gradiente
EYESCUSTOMPANEL_COLORS	Colori
EYESCUSTOMPANEL_COLOR	Colore
EYESCUSTOMPANEL_MIDANDSHARP	Punto Centrale e Nitidezza
EYESCUSTOMPANEL_MIDPOINT	Punto Centrale
EYESCUSTOMPANEL_SHARPNESS	Nitidezza
EYESCUSTOMPANEL_ANGLE	Angolo (Inizio e Fine)
EYESCUSTOMPANEL_IRISLINES	Linee Iride
EYESCUSTOMPANEL_COUNTWIDTH	Numero e Larghezza
EYESCUSTOMPANEL_SOCKETCOLOR	Colore Cavità
EYESCUSTOMPANEL_MIRRORX	Specchia X	-1
EYESCUSTOMPANEL_MIRRORY	Specchia Y	-1
EYESCUSTOMPANEL_SECHIGHLIGHT	Dettagli Secondari
EYESCUSTOMPANEL_DEADZONE	Deadzone
EYESCUSTOMPANEL_DEADZONEATTN	Attenuazione Deadzone
EYESCUSTOMPANEL_IRIS	Iride
EYESCUSTOMPANEL_RANDOM	Casuale
EYESCUSTOMPANEL_SEED	Seed Linee
EYESCUSTOMPANEL_SCALE	Scala
EYESCUSTOMPANEL_SECONDARYSCALE	Scala Secondaria
EYESCUSTOMPANEL_IRISWIDTH	Larghezza Iride
EYESCUSTOMPANEL_IRISHEIGHT	Altezza Iride
EYESCUSTOMPANEL_SIDE_LEFT	Occhio Sinistro	-4
EYESCUSTOMPANEL_SIDE_RIGHT	Occhio Destro	-3
EYESCUSTOMPANEL_SIDE_BOTH	Entrambi gli Occhi	-4
EYESCUSTOMPANEL_PART_INNERIRIS	Iride Interna	-3
EYESCUSTOMPANEL_PART_OUTERIRIS	Iride Esterna	-3
EYESCUSTOMPANEL_PART_PUPIL	Pupilla
EYESCUSTOMPANEL_PART_SOCKET	Cavità
EYESCUSTOMPANEL_PART_HIGHLIGHT	Dettagli
EYESCUSTOMPANEL_GRADIENT_X	X
EYESCUSTOMPANEL_GRADIENT_Y	Y
EYESCUSTOMPANEL_GRADIENT_CIRCLE	Cerchio
EYESCUSTOMPANEL_COLORMODE_NONE	Colore Texture
EYESCUSTOMPANEL_COLORMODE_MULTIPLY	Moltiplica
EYESCUSTOMPANEL_COLORMODE_COLORIZE	Colora
