STUDIOCHARSETTINGS_FKPANEL_TITLE	Forward Kinematics
STUDIOCHARSETTINGS_FKPANEL_NONESELECTED	Nessun Personaggio Selezionato
STUDIOCHARSETTINGS_FKPANEL_ONLYONEALLOWED	Può essere modificato solo un personaggio alla volta
STUDIOCHARSETTINGS_FKPANEL_EVERYTHING_TITLE	Tutto
STUDIOCHARSETTINGS_FKPANEL_TOGGLE	Toggle
STUDIOCHARSETTINGS_FKPANEL_SYNC	Leggi da Posa	-3
STUDIOCHARSETTINGS_FKPANEL_MIRROR	Specchia
STUDIOCHARSETTINGS_FKPANEL_RESET	Reset
STUDIOCHARSETTINGS_FKPANEL_EDIT	Modifica
STUDIOCHARSETTINGS_FKPANEL_GROUPS	Gruppi
STUDIOCHARSETTINGS_FKPANEL_COPY	Copia
STUDIOCHARSETTINGS_FKPANEL_PASTE	Incolla
