STUDIOCHARSETTINGS_IKPANEL_TITLE	Cinematica Inversa
STUDIOCHARSETTINGS_IKPANEL_NONESELECTED	Nessun personaggio selezionato
STUDIOCHARSETTINGS_IKPANEL_ONLYONEALLOWED	È possibile selezionare solo un personaggio alla volta

STUDIOCHARSETTINGS_IKPANEL_EVERYTHING_TITLE	Tutto

STUDIOCHARSETTINGS_IKPANEL_TOGGLE	Interruttore	-1
STUDIOCHARSETTINGS_IKPANEL_SYNC	Read Pose

STUDIOCHARSETTINGS_IKPANEL_BODY	Corpo
STUDIOCHARSETTINGS_IKPANEL_LEFTSHOULDER	Spalla Sinistra
STUDIOCHARSETTINGS_IKPANEL_RIGHTSHOULDER	Spalla Destra
STUDIOCHARSETTINGS_IKPANEL_LEFTTHIGH	Coscia Sinistra
STUDIOCHARSETTINGS_IKPANEL_RIGHTTHIGH	Coscia Destra
STUDIOCHARSETTINGS_IKPANEL_LEFTHAND	Mano Sinistra
STUDIOCHARSETTINGS_IKPANEL_RIGHTHAND	Mano Destra
STUDIOCHARSETTINGS_IKPANEL_LEFTFOOT	Piede Sinistro
STUDIOCHARSETTINGS_IKPANEL_RIGHTFOOT	Piede Destro

STUDIOCHARSETTINGS_IKPANEL_LEFTELBOW	Gomito Sinistro
STUDIOCHARSETTINGS_IKPANEL_RIGHTELBOW	Gomito Destro
STUDIOCHARSETTINGS_IKPANEL_LEFTKNEE	Ginocchio Sinistro
STUDIOCHARSETTINGS_IKPANEL_RIGHTKNEE	Ginocchio Destro
STUDIOCHARSETTINGS_IKPANEL_POSWEIGHT	Influenza posizione
STUDIOCHARSETTINGS_IKPANEL_ROTWEIGHT	Influenza rotazione
STUDIOCHARSETTINGS_IKPANEL_SPINESTIFF	Rigidità della schiena
STUDIOCHARSETTINGS_IKPANEL_USETHIGHS	Utilizza le cosce
STUDIOCHARSETTINGS_IKPANEL_VERTPULL	Attrai verticalmente
STUDIOCHARSETTINGS_IKPANEL_HORZPULL	Attrai orizzontalmente
STUDIOCHARSETTINGS_IKPANEL_RELPOS	Posizione relativa
STUDIOCHARSETTINGS_IKPANEL_PULL	Tira
STUDIOCHARSETTINGS_IKPANEL_REACH	Raggiungi
STUDIOCHARSETTINGS_IKPANEL_PUSH	Spingi
STUDIOCHARSETTINGS_IKPANEL_PUSHPARENT	Spingi padre
STUDIOCHARSETTINGS_IKPANEL_REACHSMOOTHING	Fluidità al raggiungere
STUDIOCHARSETTINGS_IKPANEL_PUSHSMOOTHING	Fluidità alla spinta
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_NONE	Nessuno
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_EXPONENTIAL	Esponenziale
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_CUBIC	Cubico
STUDIOCHARSETTINGS_IKPANEL_MIRROR	Speculari	-1
STUDIOCHARSETTINGS_IKPANEL_DISABLE	Disabilita
STUDIOCHARSETTINGS_IKPANEL_COPY	Copia
STUDIOCHARSETTINGS_IKPANEL_PASTE	Incolla
