STUDIOSETTINGS_TITLE	Impostazioni Studio
STUDIOSETTINGS_OBJCREATION_TITLE	Creazione oggetti
STUDIOSETTINGS_GIZMO_TITLE	Gizmo
STUDIOSETTINGS_TARGETDISPLAY_TITLE	Targets - Mostra
STUDIOSETTINGS_TARGETSIZE_TITLE	Targets - Dimensione
STUDIOSETTINGS_CAMERA_TITLE	Camera

STUDIOSETTINGS_DISPLAY	Mostra

STUDIOSETTINGS_LOCATION	Posizione
STUDIOSETTINGS_ORIGIN	Origine
STUDIOSETTINGS_CAMERA	Camera

STUDIOSETTINGS_PARENT	Oggetto padre
STUDIOSETTINGS_ROOT	Oggetto principale	-2
STUDIOSETTINGS_SELOBJ	Oggetto selezionato	-2

STUDIOSETTINGS_SIZE	Dimensione

STUDIOSETTINGS_OBJECTS	Oggetti
STUDIOSETTINGS_CHARA	Personaggi
STUDIOSETTINGS_FOLDERS	Cartelle
STUDIOSETTINGS_IKTARGETS	Cinematica Inversa	-2

STUDIOSETTINGS_SHOWCAMTARGET	Mostra Target della Camera
STUDIOSETTINGS_FOV	Campo Visivo

STUDIOSETTINGS_RESET	Reset
STUDIOSETTINGS_VIEWDISTANCE	Visualizzare la distanza	-4
STUDIOSETTINGS_LOOKTARGETS	Look Targets
STUDIOSETTINGS_FKTARGETS	Target FK
