SUBCATEGORY_SHAPES_FACE	Faccia
SUBCATEGORY_SHAPES_CHEEKS	Guance
SUBCATEGORY_SHAPES_EARS	Orecchie
SUBCATEGORY_SHAPES_JAW	Mascella
SUBCATEGORY_SHAPES_CHIN	Mento
SUBCATEGORY_SHAPES_EYES	Occhi
SUBCATEGORY_SHAPES_NOSE	Naso
SUBCATEGORY_SHAPES_MOUTH	Bocca
SUBCATEGORY_SHAPES_EXPRESSION	Espressione

SUBCATEGORY_SHAPES_NECK	Collo
SUBCATEGORY_SHAPES_TORSO	Torso
SUBCATEGORY_SHAPES_WAIST	Vita
SUBCATEGORY_SHAPES_HIPS	Fianchi
SUBCATEGORY_SHAPES_ARMS	Braccia
SUBCATEGORY_SHAPES_LEGS	Gambe
SUBCATEGORY_SHAPES_PRIVATES	Parti Intime

SUBCATEGORY_HAIR_SET	Acconciatura
SUBCATEGORY_HAIR_FRONT	Capelli Frontali
SUBCATEGORY_HAIR_SIDE	Capelli Laterali
SUBCATEGORY_HAIR_BACK	Capelli posteriori
SUBCATEGORY_HAIR_EXT	Estensioni

SUBCATEGORY_CLOTH_BRA	Reggiseno
SUBCATEGORY_CLOTH_PANTIES	Mutandine
SUBCATEGORY_CLOTH_BOXERS	Boxers
SUBCATEGORY_CLOTH_SOCKS	Calzini
SUBCATEGORY_CLOTH_STOCKINGS	Calze
SUBCATEGORY_CLOTH_SHIRT	Camicia
SUBCATEGORY_CLOTH_COAT	Cappotto
SUBCATEGORY_CLOTH_ONEPIECE	Onepiece
SUBCATEGORY_CLOTH_SKIRT	Gonna
SUBCATEGORY_CLOTH_PANTS	Pantaloni
SUBCATEGORY_CLOTH_SHOES	Scarpe

SUBCATEGORY_STUDIO_BASICSHAPES	Forme Base
SUBCATEGORY_STUDIO_LIGHTS	Luci
SUBCATEGORY_STUDIO_EFFECTS2D	Effetti 2D
SUBCATEGORY_STUDIO_EFFECTS3D	Effetti 3D
SUBCATEGORY_STUDIO_SMALLOBJECTS	Oggetti Piccoli
SUBCATEGORY_STUDIO_LARGEOBJECTS	Oggetti Grandi
SUBCATEGORY_STUDIO_MISCOBJECTS	Oggetti Vari
SUBCATEGORY_STUDIO_HRELATED	Relativi a Contenuti H
SUBCATEGORY_STUDIO_FOODRELATED	Relativi al Cibo
SUBCATEGORY_STUDIO_CHARARELATED	Relativi ai Personaggi
SUBCATEGORY_STUDIO_FURNITURE	Mobili
SUBCATEGORY_STUDIO_BUILDINGS	Edifici
SUBCATEGORY_STUDIO_GIMMICKS	Gimmicks

SUBCATEGORY_ACC_HEAD	Testa
SUBCATEGORY_ACC_NECK	Collo
SUBCATEGORY_ACC_UPPERBODY	Parte Superiore
SUBCATEGORY_ACC_LOWERBODY	Parte Inferiore
SUBCATEGORY_ACC_ARMS	Braccia
SUBCATEGORY_ACC_HANDS	Mani
SUBCATEGORY_ACC_LEGS	Gambe
SUBCATEGORY_ACC_FEET	Piedi

SUBCATEGORY_TEXTURES_FACESKIN	Texture volto
SUBCATEGORY_TEXTURES_BODYSKIN	Texture corpo

SUBCATEGORY_SETTINGS_CHARAPROFILE	Profilo Personaggio
SUBCATEGORY_SETTINGS_CHARACARDS	Carte Personaggi
SUBCATEGORY_SETTINGS_OUTFITCARDS	Carte Abbigliamento

SUBCATEGORY_SETTINGS_SCENESETTINGS	Impostazioni Scena
SUBCATEGORY_SETTINGS_STUDIOSETTINGS	Impostazioni Studio
SUBCATEGORY_SETTINGS_MAPS	Mappe
SUBCATEGORY_SETTINGS_SCENES	Scene

SUBCATEGORY_STUDIO_CHARASETTINGS_IK	Cinematica Inversa
SUBCATEGORY_STUDIO_CHARASETTINGS_IKCORR	IK Correzione
SUBCATEGORY_STUDIO_CHARASETTINGS_IKPOSES	Pose in Cinematica Inversa	-2
SUBCATEGORY_STUDIO_CHARASETTINGS_EXPR	Espressione
SUBCATEGORY_STUDIO_CHARASETTINGS_EYEHEAD	Controlli Testa e Sguardo	-2
SUBCATEGORY_STUDIO_CHARASETTINGS_CLOTHACC	Abiti e Accessori

CATEGORY_HEAD	Testa
CATEGORY_BODY	Corpo
CATEGORY_HAIR	Capelli
CATEGORY_CLOTHES	Abiti
CATEGORY_ACCESSORIES	Accessori
CATEGORY_TEXTURES	Textures
CATEGORY_SETTINGS	Impostazioni
CATEGORY_OBJ	Oggetti
CATEGORY_OBJSETTINGS	Impostazioni Oggetto
CATEGORY_CHARASETTINGS	Impostazioni Personaggio	-2
SUBCATEGORY_SHAPES_CHEST	Petto
SUBCATEGORY_TEXTURES_NIPPLES	Capezzoli
SUBCATEGORY_TEXTURES_FACEOVERLAY	Overlay sulla faccia
SUBCATEGORY_TEXTURES_BODYOVERLAY	Overlay sul corpo
SUBCATEGORY_TEXTURES_LIPS	Lips
SUBCATEGORY_SHAPES_EYEBROWS	Eyebrows
SUBCATEGORY_SHAPES_EYELIDS	Eyelids
