DATAOBJPANEL_NONESELECTED	Nessuna
DATAOBJPANEL_NONEAVAILABLE	Nessuna Carta Disponibile

DATAOBJPANEL_TYPE_CHARA	Personaggi
DATAOBJPANEL_TYPE_OUTFIT	Abbigliamento
DATAOBJPANEL_TYPE_SCENE	Scene

DATAOBJPANEL_LOADOPTIONS	Carica Impostazioni

DATAOBJPANEL_DELETE	Elimina
DATAOBJPANEL_ADD	Aggiungi
DATAOBJPANEL_LOAD	Carica
DATAOBJPANEL_SAVE	Salva

DATAOBJPANEL_CANCEL	Cancella
DATAOBJPANEL_CAPTURE	Cattura
DATAOBJPANEL_KEEPIMG	Tieni Immagine

DATAOBJPANEL_LOAD_CLOTHING	Abbigliamento	-1
DATAOBJPANEL_LOAD_HAIR	Capelli
DATAOBJPANEL_LOAD_ACC	Accessori
DATAOBJPANEL_LOAD_PROFILE	Profilo
DATAOBJPANEL_LOAD_OUTFITS	Abbigliamento	-1
DATAOBJPANEL_LOAD_BODY	Corpo

DATAOBJPANEL_LOAD_MAP	Mappa
DATAOBJPANEL_LOAD_OBJ	Oggetti
DATAOBJPANEL_LOAD_BG	Sfondo
DATAOBJPANEL_LOAD_BGM	Musica di Sottofondo
DATAOBJPANEL_TYPE_POSE	Posa FK/IK
DATAOBJPANEL_NAME	Name
DATAOBJPANEL_LOAD_FK	FK
DATAOBJPANEL_LOAD_IK	IK
DATAOBJPANEL_LOAD_IKCORRECTION	Correzione IK
DATAOBJPANEL_TYPE_FEMALECHARA	Personaggi Femminili
DATAOBJPANEL_TYPE_MALECHARA	Personaggi Maschili
