MATCUSTOMIZER_TITLE	Personalizzazione Materiali
MATCUSTOMIZER_SELECTEDMATERIAL	Materiale Selezionato:
MATCUSTOMIZER_DISPLAY	Mostra:
MATCUSTOMIZER_RESET	Reset
MATCUSTOMIZER_NONESELECTED	Nessuno

MATCUSTOMIZER_TILING	Tiling
MATCUSTOMIZER_OFFSET	Offset
MATCUSTOMIZER_TOGGLE	Interruttore

MATCUSTOMIZER_TOGGLE_COLORS	Colori
MATCUSTOMIZER_TOGGLE_VECTORS	Vettori
MATCUSTOMIZER_TOGGLE_FLOATS	Float
MATCUSTOMIZER_TOGGLE_RANGES	Intervalli
MATCUSTOMIZER_TOGGLE_TEXTURES	Texture
MATCUSTOMIZER_TOGGLE_INTS	Int
MATCUSTOMIZER_TOGGLE_DROPDOWNS	Menu a Tendina	-3
MATCUSTOMIZER_TOGGLE_TOGGLES	Toggle
MATCUSTOMIZER_EXPORT	Esporta
MATCUSTOMIZER_COPY	Copia
MATCUSTOMIZER_PASTE	Incolla
MATCUSTOMIZER_EXPORTUV	Export UV
