SETTINGS_PAGE_DISPLAY_HEADER_RESOLUTION	Risoluzione
SETTINGS_PAGE_DISPLAY_HEADER_WINDOWMODE	Modalità Finestra

SETTINGS_PAGE_DISPLAY_WINDOWED	Finestra
SETTINGS_PAGE_DISPLAY_FULLSCREEN	Schermo Intero
SETTINGS_PAGE_DISPLAY_BORDERLESS	Senza Bordi
SETTINGS_PAGE_DISPLAY_HEADER_OUTLINE	Bordi
SETTINGS_PAGE_DISPLAY_FADESTART	Inizio Sfumatura
SETTINGS_PAGE_DISPLAY_FADEEND	Fine Sfumatura
SETTINGS_PAGE_DISPLAY_COLOR	Colore
SETTINGS_PAGE_DISPLAY_OUTLINEBLUR5X5	Sfocatura 5x5
SETTINGS_PAGE_DISPLAY_OUTLINEBLUR3X3	Sfocatura 3x3
