SETTINGS_PAGE_GENERAL_HEADER_LANG	Lingua
SETTINGS_PAGE_GENERAL_HEADER_GIZMO	Gizmo
SETTINGS_PAGE_GENERAL_HEADER_SELECTION	Selezione
SETTINGS_PAGE_GENERAL_HEADER_DEBUG	Debug
SETTINGS_PAGE_GENERAL_HEADER_SCREENSHOT	Screenshot

SETTINGS_PAGE_GENERAL_GIZMOSIZE	Moltiplicatore Dimensione
SETTINGS_PAGE_GENERAL_OUTLINEWIDTH	Larghezza Contorno
SETTINGS_PAGE_GENERAL_OUTLINECOLOR	Colore Contorno
SETTINGS_PAGE_GENERAL_TOGGLEPERFPANEL	Pannello Performance
SETTINGS_PAGE_GENERAL_TOGGLEDATAOBJCOMPRESSION	Compressione Dataobject 

SETTINGS_PAGE_GENERAL_SS_FORMAT	Formato Data
SETTINGS_PAGE_GENERAL_SS_ALPHA	Trasparenza
SETTINGS_PAGE_GENERAL_SS_UPSCALE	Upscaling

SETTINGS_PAGE_GENERAL_SS_NONE	Nessun Upscaling
SETTINGS_PAGE_GENERAL_SS_TWO	2x Upscaling
SETTINGS_PAGE_GENERAL_SS_FOUR	4x Upscaling
SETTINGS_PAGE_GENERAL_SS_EIGHT	8x Upscaling
SETTINGS_PAGE_GENERAL_HEADER_UI	 UI 
SETTINGS_PAGE_GENERAL_UI_ANIMATIONSPEED	Velocità animazioni interfaccia	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPLEFT	Top Left
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPCENTER	Top Center
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPRIGHT	Top Right
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLELEFT	Middle Left
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLECENTER	Middle Center
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLERIGHT	Middle Right
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMLEFT	Bottom Left
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMCENTER	Bottom Center
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMRIGHT	Bottom Right
