SETTINGS_PAGE_GRAPHICS_HEADER_OPTIONS	Impostazioni Grafiche
SETTINGS_PAGE_GRAPHICS_HEADER_LOD	Qualità Oggetti
SETTINGS_PAGE_GRAPHICS_HEADER_SHADOWQUALITY	Qualità Ombre

SETTINGS_PAGE_GRAPHICS_VERYHIGH	Molto Alta
SETTINGS_PAGE_GRAPHICS_HIGH	Alta
SETTINGS_PAGE_GRAPHICS_MEDIUM	Media
SETTINGS_PAGE_GRAPHICS_LOW	Bassa
SETTINGS_PAGE_GRAPHICS_CUSTOM	Personalizzata

SETTINGS_PAGE_GRAPHICS_VSYNC	V-Sync
SETTINGS_PAGE_GRAPHICS_VIGNETTE	Vignettatura
SETTINGS_PAGE_GRAPHICS_AO	Occlusione Ambientale
SETTINGS_PAGE_GRAPHICS_SSS	Ombre Screen Space

SETTINGS_PAGE_GRAPHICS_BLOOM	Bloom
SETTINGS_PAGE_GRAPHICS_HEADER_ANTIALIASING	Antialiasing
SETTINGS_PAGE_GRAPHICS_NONE	Nessuna
SETTINGS_PAGE_GRAPHICS_HEADER_TEXTUREQUALITY	Qualità Texture
SETTINGS_PAGE_GRAPHICS_FPSLIMIT	Limite Framerate
