STUDIOCHARSETTINGS_CLOTHACCPANEL_TITLE	Roupas e Acessórios
STUDIOCHARSETTINGS_CLOTHACCPANEL_NONESELECTED	Nenhum personagem selecionado
STUDIOCHARSETTINGS_CLOTHACCPANEL_ONLYONEALLOWED	Apenas um personagem pode ser modificado por vez

STUDIOCHARSETTINGS_CLOTHACCPANEL_SETS	Visuais
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH	Roupas
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC	Accessórios

STUDIOCHARSETTINGS_CLOTHACCPANEL_SET	Visual
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEAR	Vestir
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEARING	Vestindo
STUDIOCHARSETTINGS_CLOTHACCPANEL_TOGGLE	Alternar
STUDIOCHARSETTINGS_CLOTHACCPANEL_STATE	Estado

STUDIOCHARSETTINGS_CLOTHACCPANEL_DEFAULTOUTFIT	Visual Padrão
STUDIOCHARSETTINGS_CLOTHACCPANEL_NEWOUTFIT	Novo Visual
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLONEDOUTFIT	Visuais Clonados

STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_PERCLOTHCONTROL	Controle Por Roupas
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_AUTO	Automática
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_CLOTHED	Vestidas
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_UNDERWEAR	Íntimas
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_HALF	Metade
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_NAKED	Despidas
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_FULL	Completas	-3
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_OFF	Desligadas	-3

STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_PERACCCONTROL	Controle Por Acessório
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_ESSENTIAL	Essencial
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_IMPORTANT	Importante
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_UNIMPORTANT	Não Importante
