STUDIOCHARSETTINGS_EXPRPANEL_TITLE	Expressão
STUDIOCHARSETTINGS_EXPRPANEL_NONESELECTED	Nenhum personagem selecionado
STUDIOCHARSETTINGS_EXPRPANEL_ONLYONEALLOWED	Apenas um personagem pode ser modificado por vez
STUDIOCHARSETTINGS_EXPRPANEL_NOTSUPPORTED	Este personagem não possui suporte a expressões

STUDIOCHARSETTINGS_EXPRPANEL_EYES	Olhos
STUDIOCHARSETTINGS_EXPRPANEL_MOUTH	Boca

STUDIOCHARSETTINGS_EXPRPANEL_TOGGLE	Alternar
STUDIOCHARSETTINGS_EXPRPANEL_EXPRESSION	Expressão
STUDIOCHARSETTINGS_EXPRPANEL_AUTO	Automática

STUDIOCHARSETTINGS_EXPRPANEL_OPENING	Abertura
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGL	Abertura (E)
STUDIOCHARSETTINGS_EXPRPANEL_OPENINGR	Abertura (D)
STUDIOCHARSETTINGS_EXPRPANEL_SPLITOPENING	Abertura dos Olhos Separada
STUDIOCHARSETTINGS_EXPRPANEL_BLINKING	Piscando
