STUDIOCHARSETTINGS_IKCORRPANEL_TITLE	IK Correção
STUDIOCHARSETTINGS_IKCORRPANEL_NONESELECTED	Nenhum personagem selecionado
STUDIOCHARSETTINGS_IKCORRPANEL_ONLYONEALLOWED	Apenas um personagem pode ser modificado por vez
STUDIOCHARSETTINGS_IKCORRPANEL_EVERYTHING_TITLE	Tudo
STUDIOCHARSETTINGS_IKCORRPANEL_TOGGLE	Alternar
STUDIOCHARSETTINGS_IKCORRPANEL_DISABLE	Desabilitar	-2
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTFOREARM	Antebraço esquerdo
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTFOREARM	Antebraço direito
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTUPPERARM	Braço superior esquerdo
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTUPPERARM	Braço superior direito
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTCALF	Panturrilha esquerda
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTCALF	Panturrilha direita
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTTHIGH	Coxa esquerda
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTTHIGH	Coxa direita
STUDIOCHARSETTINGS_IKCORRPANEL_WEIGHT	Peso
STUDIOCHARSETTINGS_IKCORRPANEL_CROSSFADE	Crossfade
STUDIOCHARSETTINGS_IKCORRPANEL_ANGOFFSET	Desloque de Ângulo
STUDIOCHARSETTINGS_IKCORRPANEL_MIRROR	Espelhados	-3
