STUDIOCHARSETTINGS_IKPOSEPANEL_TITLE	Poses IK
STUDIOCHARSETTINGS_IKPOSEPANEL_NONESELECTED	Nenhum personagem selecionado
STUDIOCHARSETTINGS_IKPOSEPANEL_ONLYONEALLOWED	Apenas um personagem pode ser modificado por vez

STUDIOCHARSETTINGS_IKPOSEPANEL_NONEAVAILABLE	Nenhuma pose disponível

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADING_TITLE	Carregando
STUDIOCHARSETTINGS_IKPOSEPANEL_SAVING_TITLE	Salvando

STUDIOCHARSETTINGS_IKPOSEPANEL_NAME	Nome

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVE	Salvar

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVEPOSE	Salvar Pose

STUDIOCHARSETTINGS_IKPOSEPANEL_MANAGE	Gerenciar

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADPOSE	Carregar Pose
STUDIOCHARSETTINGS_IKPOSEPANEL_DELETEPOSE	Deletar Pose
