MODCREATOR_BUILDER_MODINFO	Informação do Mod
MODCREATOR_BUILDER_NAME	Nome
MODCREATOR_BUILDER_DESC	Descrição
MODCREATOR_BUILDER_AUTHOR	Autor
MODCREATOR_BUILDER_VERSION	Versão
MODCREATOR_BUILDER_COMPATVER	Versões Compatíveis
MODCREATOR_BUILDER_DEPS	Dependências
MODCREATOR_BUILDER_CHARAOBJ	Objetos de Personagem
MODCREATOR_BUILDER_STUDIOOBJ	Objetos do Estúdio
MODCREATOR_BUILDER_MODSCENE	Cenas Modeadas
MODCREATOR_BUILDER_DEBUG	Modo de Debug
MODCREATOR_BUILDER_ASSIGN	Atribuir Componentes
MODCREATOR_BUILDER_BUILD	Construir Mod
MODCREATOR_BUILDER_RESET	Resetar
MODCREATOR_BUILDER_COMPTYPE	Formato de Compressão
MODCREATOR_BUILDER_DECOMPRESS	Descomprimir Mod
MODCREATOR_BUILDER_COMPRESS	Comprimir Mod
MODCREATOR_BUILDER_DEFAULT	Padrão
MODCREATOR_BUILDER_LOAD	Carregar Mod
MODCREATOR_BUILDER_ASMINFO	Informação de Assembly
MODCREATOR_BUILDER_SIZE	Tamanho
MODCREATOR_BUILDER_LIST	Lista
