CHARAPROFILE_TITLE	Perfil do Personagem
CHARAPROFILE_BASIC_TITLE	Informações Básicas
CHARAPROFILE_OPTIONS_TITLE	Opções do Personagem
CHARAPROFILE_BIO_TITLE	Biografia do Personagem

CHARAPROFILE_RANDOM	Aleatório

CHARAPROFILE_FAMILYNAME	Sobrenome
CHARAPROFILE_GIVENNAME	Nome
CHARAPROFILE_BIRTHDATE	Data de Nascimento
CHARAPROFILE_BLOODTYPE	Tipo Sanguíneo
CHARAPROFILE_NICKNAME	Apelido
CHARAPROFILE_PERSONALITY	Personalidade

CHARAPROFILE_MONTH_JANUARY	Janeiro
CHARAPROFILE_MONTH_FEBRUARY	Fevereiro
CHARAPROFILE_MONTH_MARCH	Março
CHARAPROFILE_MONTH_APRIL	Abril
CHARAPROFILE_MONTH_MAY	Maio
CHARAPROFILE_MONTH_JUNE	Junho
CHARAPROFILE_MONTH_JULY	Julho
CHARAPROFILE_MONTH_AUGUST	Agosto
CHARAPROFILE_MONTH_SEPTEMBER	Setembro
CHARAPROFILE_MONTH_OCTOBER	Outubro
CHARAPROFILE_MONTH_NOVEMBER	Novembro
CHARAPROFILE_MONTH_DECEMBER	Dezembro

CHARAPROFILE_FUTA	Alternar Futanari
CHARAPROFILE_TOGGLE	Alternar
