EYESCUSTOMPANEL_TITLE	Customização dos Olhos
EYESCUSTOMPANEL_NONESELECTED	Nenhum
EYESCUSTOMPANEL_NONEAVAILABLE	Nenhum objeto disponível
EYESCUSTOMPANEL_SEARCH_NAME	Nome
EYESCUSTOMPANEL_SEARCH_DESC	Descrição
EYESCUSTOMPANEL_SEARCH_TAGS	Etiquetas
EYESCUSTOMPANEL_BASICNOTAVAIL	Não disponível no modo Básico
EYESCUSTOMPANEL_BACK	Voltar
EYESCUSTOMPANEL_RESET	Resetar
EYESCUSTOMPANEL_ADVANCED	Avançado
EYESCUSTOMPANEL_SENDTOOTHER	Enviar para Outro
EYESCUSTOMPANEL_READFROMOTHER	Carregar de Outro
EYESCUSTOMPANEL_ENABLE	Habilitar
EYESCUSTOMPANEL_AUTOMATIC	Automático	-2
EYESCUSTOMPANEL_INVERT	Inverter
EYESCUSTOMPANEL_UNSELECT	Deselecionar
EYESCUSTOMPANEL_GRADTYPE	Tipo de Gradiente
EYESCUSTOMPANEL_COLORS	Cores
EYESCUSTOMPANEL_COLOR	Cor
EYESCUSTOMPANEL_MIDANDSHARP	Ponto Médio e Nitidez
EYESCUSTOMPANEL_MIDPOINT	Ponto Médio
EYESCUSTOMPANEL_SHARPNESS	Nitidez
EYESCUSTOMPANEL_ANGLE	Ângulo (Início e Fim)
EYESCUSTOMPANEL_IRISLINES	Linhas da Íris
EYESCUSTOMPANEL_COUNTWIDTH	Count & Width
EYESCUSTOMPANEL_SOCKETCOLOR	Cor da Órbita
EYESCUSTOMPANEL_MIRRORX	Espelhar X
EYESCUSTOMPANEL_MIRRORY	Espelhar Y
EYESCUSTOMPANEL_SECHIGHLIGHT	Realce Secundário
EYESCUSTOMPANEL_DEADZONE	Zona Morta
EYESCUSTOMPANEL_DEADZONEATTN	Atenuação da Zona Morta
EYESCUSTOMPANEL_IRIS	Íris
EYESCUSTOMPANEL_RANDOM	Aleatório
EYESCUSTOMPANEL_SEED	Semente de Linhas
EYESCUSTOMPANEL_SCALE	Escala
EYESCUSTOMPANEL_SECONDARYSCALE	Escala Secundária
EYESCUSTOMPANEL_IRISWIDTH	Largura da Íris
EYESCUSTOMPANEL_IRISHEIGHT	Altura da Íris
EYESCUSTOMPANEL_SIDE_LEFT	Olho Esquerdo	-4
EYESCUSTOMPANEL_SIDE_RIGHT	Olho Direito	-2
EYESCUSTOMPANEL_SIDE_BOTH	Ambos os Olhos	-5
EYESCUSTOMPANEL_PART_INNERIRIS	Íris Interior
EYESCUSTOMPANEL_PART_OUTERIRIS	Íris Exterior
EYESCUSTOMPANEL_PART_PUPIL	Pupila
EYESCUSTOMPANEL_PART_SOCKET	Órbita
EYESCUSTOMPANEL_PART_HIGHLIGHT	Realce
EYESCUSTOMPANEL_GRADIENT_X	X
EYESCUSTOMPANEL_GRADIENT_Y	Y
EYESCUSTOMPANEL_GRADIENT_CIRCLE	Círculo
EYESCUSTOMPANEL_COLORMODE_NONE	Cor da Textura	-2
EYESCUSTOMPANEL_COLORMODE_MULTIPLY	Multiplicar
EYESCUSTOMPANEL_COLORMODE_COLORIZE	Apenas Cor
