STUDIOCHARSETTINGS_FKPANEL_TITLE	Cinemática Direta (FK)
STUDIOCHARSETTINGS_FKPANEL_NONESELECTED	Nenhum personagem selecionado
STUDIOCHARSETTINGS_FKPANEL_ONLYONEALLOWED	Apenas um personagem pode ser modificado por vez
STUDIOCHARSETTINGS_FKPANEL_EVERYTHING_TITLE	Tudo
STUDIOCHARSETTINGS_FKPANEL_TOGGLE	Alternar
STUDIOCHARSETTINGS_FKPANEL_SYNC	Carregar Pose	-2
STUDIOCHARSETTINGS_FKPANEL_MIRROR	Espelhar
STUDIOCHARSETTINGS_FKPANEL_RESET	Resetar
STUDIOCHARSETTINGS_FKPANEL_EDIT	Editar
STUDIOCHARSETTINGS_FKPANEL_GROUPS	Grupos
STUDIOCHARSETTINGS_FKPANEL_COPY	Copiar
STUDIOCHARSETTINGS_FKPANEL_PASTE	Colar
