STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE	Estilo do Texto	-2
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_COLOR	Cor
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_FONTSTYLE	Estilo da Fonte	-2
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_DIMENSIONS	Dimensões
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_SHOW	Mostrar
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_SIZE	Tamanho
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_FONTSIZE	Tamanho da Fonte	-3
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_AUTOSIZE	Tamanho Automático	-3
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_SPACING	Espaçamento
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_CHARACTER	Caractere
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_WORD	Palavra
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_LINE	Linha
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_PARAGRAPH	Parágrafo
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_ALIGNMENT	Alinhamento
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_HORIZONTAL	Horizontal
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_VERTICAL	Vertical
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_FACE	Face
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_SOFTNESS	Suavidade
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_DILATE	Dilatar
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_OUTLINE	Contorno
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_USEOUTLINE	Usar Contorno
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_THICKNESS	Espessura
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_UNDERLAY	Subcamada (Underlay)
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_USEUNDERLAY	Usar Subcamada (Underlay)	-4
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_OFFSET	Deslocamento	-2
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TYPE	Tipo
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_NORMAL	Normal
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_H1	H1
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_QUOTE	Citação
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_LINK	Link
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_TITLE	Título
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_H2	H2
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_H3	H3
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_C1	C1
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_C2	C2
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_TEXTSTYLE_C3	C3
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_UNDERLAYTYPE_NORMAL	Normal
STUDIOOBJSETTINGS_PAGE_TEXTOBJECT_UNDERLAYTYPE_INNER	Interior
