STUDIOSETTINGS_TITLE	Configurações do Estúdio
STUDIOSETTINGS_OBJCREATION_TITLE	Criador de Objeto
STUDIOSETTINGS_GIZMO_TITLE	Gizmo
STUDIOSETTINGS_TARGETDISPLAY_TITLE	Alvos - Display
STUDIOSETTINGS_TARGETSIZE_TITLE	Alvos - Tamanho
STUDIOSETTINGS_CAMERA_TITLE	Câmera

STUDIOSETTINGS_DISPLAY	Exibir

STUDIOSETTINGS_LOCATION	Localização
STUDIOSETTINGS_ORIGIN	Origem
STUDIOSETTINGS_CAMERA	Câmera

STUDIOSETTINGS_PARENT	Pai
STUDIOSETTINGS_ROOT	Raíz
STUDIOSETTINGS_SELOBJ	Selecionado

STUDIOSETTINGS_SIZE	Tamanho

STUDIOSETTINGS_OBJECTS	Objetos
STUDIOSETTINGS_CHARA	Personagens
STUDIOSETTINGS_FOLDERS	Pastas
STUDIOSETTINGS_IKTARGETS	Alvos IK

STUDIOSETTINGS_SHOWCAMTARGET	Mostrar Alvo da Câmera
STUDIOSETTINGS_FOV	Campo de Visão	-3

STUDIOSETTINGS_RESET	Resetar
STUDIOSETTINGS_VIEWDISTANCE	Ver distância
STUDIOSETTINGS_LOOKTARGETS	Alvos de Olhar
STUDIOSETTINGS_FKTARGETS	FK Targets
