SUBCATEGORY_SHAPES_FACE	Rosto
SUBCATEGORY_SHAPES_CHEEKS	Bochechas
SUBCATEGORY_SHAPES_EARS	Orelhas
SUBCATEGORY_SHAPES_JAW	Mandíbula
SUBCATEGORY_SHAPES_CHIN	Queixo
SUBCATEGORY_SHAPES_EYES	Olhos
SUBCATEGORY_SHAPES_NOSE	Nariz
SUBCATEGORY_SHAPES_MOUTH	Boca
SUBCATEGORY_SHAPES_EXPRESSION	Expressão

SUBCATEGORY_SHAPES_NECK	Pescoço
SUBCATEGORY_SHAPES_TORSO	Torso
SUBCATEGORY_SHAPES_WAIST	Cintura
SUBCATEGORY_SHAPES_HIPS	Quadris
SUBCATEGORY_SHAPES_ARMS	Braços
SUBCATEGORY_SHAPES_LEGS	Pernas
SUBCATEGORY_SHAPES_PRIVATES	Partes Íntimas

SUBCATEGORY_HAIR_FRONT	Cabelo Frontal
SUBCATEGORY_HAIR_SIDE	Cabelo Lateral
SUBCATEGORY_HAIR_BACK	Cabelo Traseiro
SUBCATEGORY_HAIR_EXT	Extensões

SUBCATEGORY_CLOTH_BRA	Sutiã
SUBCATEGORY_CLOTH_PANTIES	Calcinha
SUBCATEGORY_CLOTH_SOCKS	Meias
SUBCATEGORY_CLOTH_STOCKINGS	Meias Stocking
SUBCATEGORY_CLOTH_SHIRT	Camisa
SUBCATEGORY_CLOTH_COAT	Casaco
SUBCATEGORY_CLOTH_ONEPIECE	Macacão
SUBCATEGORY_CLOTH_SKIRT	Saia
SUBCATEGORY_CLOTH_PANTS	Calça
SUBCATEGORY_CLOTH_SHOES	Sapatos

SUBCATEGORY_STUDIO_BASICSHAPES	Formas Básicas
SUBCATEGORY_STUDIO_LIGHTS	Luzes
SUBCATEGORY_STUDIO_EFFECTS2D	Efeitos 2D
SUBCATEGORY_STUDIO_EFFECTS3D	Efeitos 3D
SUBCATEGORY_STUDIO_SMALLOBJECTS	Objetos Pequenos
SUBCATEGORY_STUDIO_LARGEOBJECTS	Objetos Grandes
SUBCATEGORY_STUDIO_MISCOBJECTS	Objetos de Miscelânea
SUBCATEGORY_STUDIO_HRELATED	Relacionado a Peripécias	-2
SUBCATEGORY_STUDIO_FOODRELATED	Relacionado a Comida
SUBCATEGORY_STUDIO_CHARARELATED	Relacionado a Personagens	-2
SUBCATEGORY_STUDIO_FURNITURE	Móveis
SUBCATEGORY_STUDIO_BUILDINGS	Construções
SUBCATEGORY_STUDIO_GIMMICKS	Artifícios

SUBCATEGORY_ACC_HEAD	Cabeça
SUBCATEGORY_ACC_NECK	Pescoço
SUBCATEGORY_ACC_UPPERBODY	Parte Superior do Corpo	-2
SUBCATEGORY_ACC_LOWERBODY	Parte Inferior do Corpo	-2
SUBCATEGORY_ACC_ARMS	Braços
SUBCATEGORY_ACC_HANDS	Mãos
SUBCATEGORY_ACC_LEGS	Pernas
SUBCATEGORY_ACC_FEET	Pés

SUBCATEGORY_TEXTURES_FACESKIN	Skin do Rosto
SUBCATEGORY_TEXTURES_BODYSKIN	Skin do Corpo

SUBCATEGORY_SETTINGS_CHARAPROFILE	Perfil do Personagem
SUBCATEGORY_SETTINGS_CHARACARDS	Cards de Personagens
SUBCATEGORY_SETTINGS_OUTFITCARDS	Cards de Looks

SUBCATEGORY_SETTINGS_SCENESETTINGS	Configurações de Cena
SUBCATEGORY_SETTINGS_STUDIOSETTINGS	Configurações do Estúdio	-2
SUBCATEGORY_SETTINGS_MAPS	Mapas
SUBCATEGORY_SETTINGS_SCENES	Cenas

SUBCATEGORY_STUDIO_CHARASETTINGS_IK	Cinemática Inversa (IK)
SUBCATEGORY_STUDIO_CHARASETTINGS_IKCORR	IK Correção
SUBCATEGORY_STUDIO_CHARASETTINGS_EXPR	Expressão
SUBCATEGORY_STUDIO_CHARASETTINGS_EYEHEAD	Controle de Vista e Cabeça	-2
SUBCATEGORY_STUDIO_CHARASETTINGS_CLOTHACC	Roupas e Acessórios

CATEGORY_HEAD	Cabeça
CATEGORY_BODY	Corpo
CATEGORY_HAIR	Cabelo
CATEGORY_CLOTHES	Roupas
CATEGORY_ACCESSORIES	Accessórios
CATEGORY_TEXTURES	Texturas
CATEGORY_SETTINGS	Configurações
CATEGORY_OBJ	Objetos
CATEGORY_OBJSETTINGS	Configurações de Objetos
CATEGORY_CHARASETTINGS	Configurações de Personagem	-2
SUBCATEGORY_HAIR_SET	Cabelo Completo
SUBCATEGORY_CLOTH_BOXERS	Cuecas
SUBCATEGORY_SHAPES_CHEST	Tórax
SUBCATEGORY_TEXTURES_NIPPLES	Mamilos
SUBCATEGORY_TEXTURES_FACEOVERLAY	Overlay de Rosto
SUBCATEGORY_TEXTURES_BODYOVERLAY	Overlay de Corpo
SUBCATEGORY_TEXTURES_LIPS	Lábios
SUBCATEGORY_SHAPES_EYEBROWS	Sobrancelhas
SUBCATEGORY_SHAPES_EYELIDS	Eyelids
SUBCATEGORY_STUDIO_CHARASETTINGS_FK	Cinemática Direta (FK)
SUBCATEGORY_STUDIO_CHARASETTINGS_FKIKPOSES	FK/IK Poses
SUBCATEGORY_MALECHARA	Personagens Masculinos	-1
SUBCATEGORY_FEMALECHARA	Personagens Femininos	-1
SUBCATEGORY_OUTFITS	Figurinos
CATEGORY_CHARA	Personagens
SUBCATEGORY_SHAPES_UPPEREYELIDS	Pálpebras Superiores
SUBCATEGORY_SHAPES_LOWEREYELIDS	Pálpebras Inferiores
SUBCATEGORY_TEXTURES_BLUSH	Blush
