DATAOBJPANEL_NONESELECTED	Nenhum
DATAOBJPANEL_NONEAVAILABLE	Nenhum card disponível

DATAOBJPANEL_TYPE_CHARA	Personagens
DATAOBJPANEL_TYPE_OUTFIT	Visuais
DATAOBJPANEL_TYPE_SCENE	Cenas

DATAOBJPANEL_LOADOPTIONS	Opções de Carregamento	-2

DATAOBJPANEL_DELETE	Deletar
DATAOBJPANEL_ADD	Adicionar
DATAOBJPANEL_LOAD	Carregar
DATAOBJPANEL_SAVE	Salvar

DATAOBJPANEL_CANCEL	Cancelar
DATAOBJPANEL_CAPTURE	Capturar
DATAOBJPANEL_KEEPIMG	Manter Imagem

DATAOBJPANEL_LOAD_CLOTHING	Roupas
DATAOBJPANEL_LOAD_HAIR	Cabelo
DATAOBJPANEL_LOAD_ACC	Acessórios
DATAOBJPANEL_LOAD_PROFILE	Perfil
DATAOBJPANEL_LOAD_OUTFITS	Visuais
DATAOBJPANEL_LOAD_BODY	Corpo

DATAOBJPANEL_LOAD_MAP	Mapa
DATAOBJPANEL_LOAD_OBJ	Objetos
DATAOBJPANEL_LOAD_BG	Plano de Fundo
DATAOBJPANEL_LOAD_BGM	Música de Fundo
DATAOBJPANEL_TYPE_POSE	FK/IK Pose
DATAOBJPANEL_NAME	Name
DATAOBJPANEL_LOAD_FK	FK
DATAOBJPANEL_LOAD_IK	IK
DATAOBJPANEL_LOAD_IKCORRECTION	IK Correction
