SETTINGS_PAGE_AUDIO_HEADER_MASTER	Volume Principal
SETTINGS_PAGE_AUDIO_HEADER_VOLUME	Opções de Volume
SETTINGS_PAGE_AUDIO_HEADER_SOUND	Opções de Áudio

SETTINGS_PAGE_AUDIO_MASTER	Volume Geral
SETTINGS_PAGE_AUDIO_MAINBGM	Música de Fundo Primária	-2
SETTINGS_PAGE_AUDIO_OTHERBGM	Música de Fundo Adicional	-2
SETTINGS_PAGE_AUDIO_SYSTEM	Sistema
SETTINGS_PAGE_AUDIO_SFX	Efeitos Sonoros

SETTINGS_PAGE_AUDIO_ITEM_A	Item Específico A
SETTINGS_PAGE_AUDIO_ITEM_B	Item Específico B
SETTINGS_PAGE_AUDIO_ITEM_C	Item Específico C
